en_0,Magical Shield,3,5203,AC -2
en_1,Holy Weapon,8,5282,Extra damage to undead monsters
en_2,Enchant Weapon,12,5283,Weapon Damage +2
en_3,Decrease Weight,14,5205,Carrying capacity Increased
en_4,Blessed Armor,21,5284,Increase Armor AC -3
en_5,Physical Enchant: DEX,26,5209,Dexterity +5
en_6,Counter Magic,31,5210,Counter 1 magic attack
en_7,Meditate,32,5207,Faster MP recovery， will be deactivated once moving or attacking
en_8,Physical Enchant: STR,42,5215,Strength +5
en_9,Weakness,47,5214,Close range damage -5， Accuracy -1
en_10,Bless Weapon,48,5285,Damage +2， Accuracy +2
en_11,Berserk,55,5218,Close range damage +5
en_12,Disease,56,5219,AC +12， Accuracy -6
en_13,Reduction Armor,88,5256,Reduce damage receive， the higher the level the greater damage reduced
en_14,Solid Carriage,90,5255,Increase evasion rate， cannot be activated when the shield is uneqipped
en_15,Counter Barrier,91,5257,Chance to reflect close range physical attack
en_16,Brave Aura,117,5260,Damage +5
en_17,Resist Magic,129,5228,MR +10%
en_18,Elemental Falldown ,133,5239,Earth Resist -50%
en_19,Elemental Falldown ,133,5263,Water Resist -50%
en_20,Elemental Falldown ,133,5264,Wind Resist -50%
en_21,Elemental Falldown ,133,5260,Fire Resist -50%
en_22,Counter Mirror,134,5252,Chance to reflect magic attacks
en_23,Clear Mind,137,5230,Wisdom +3
en_24,Resist Elemental,138,5229,Elemental Resist +10%
en_25,Fire Weapon,148,5235,Close range damage +4
en_26,Wind Shot,149,5237,Long Range Accuracy +6
en_27,Earth Skin,151,5233,AC -6
en_28,Erase Magic,153,5243,MR -75%， will recover after being hit with magic attack
en_29,Aqua Protect,160,5241,Evasion +5
en_30,Water Life,170,5234,Receive double healing effect， only applies for one time
en_31,Elemental Fire,171,5245,33% chance， close range attack*150%
en_32,Brave State,1000,5236,Double movement speed
en_33,Haste State,1001,5213,Increase all speed
en_34,Faster MP Regeneration ,1002,5365,Mana regeneration speed Increased
en_35,Wisdom State,1004,5364,Magic damage Increased
en_36,Slow State,1010,5208,Reduce all speed
en_37,Polymorph State,1011,5286,Transformed into a monster， receive monster's ability
en_38,Haste State 2,1016,5304,Increase all speed Phase 2
en_39,Teleportation Prohibited,1044,5370,Teleportation is disabled
en_40,Invisible Prohibited,1045,5368,Invisible is disabled
en_41,Maximum HP Increased,1047,5516,Maximum HP Increased
en_42,Maximum MP Increased,1048,5515,Maximum MP Increased
en_43,Heal Prohibited,1049,5518,Healing is disabled
en_44,Potions Prohibited,1057,5224,Use potions is disabled
en_45,Polymorph State 2 ,1058,5539,Transformed into a monster， contains negative effect
en_46,EXP Bonus,1060,5554,Increase EXP
en_47,War Spirit,1050,5528,Close range accuracy +1， Close range damage +1
en_48,Accuracy,1051,5529,Long Range accuracy +1， Long Range damage +1
en_49,Brilliance,1052,5530,Holy damage +3
en_50,Sensitivity,1053,5531,Long range resist +1， Evasion +2
en_51,Durability,1054,5532,Damage reduction +2
en_52,Recovery,1055,5533,HP regeneration rate +3， MP regeneration rate +1
en_53,Sorcery,1056,5534,Magic damage +2
en_54,Shield of Protection,68,5223,Reduce Damage -50%
en_55,Protection from Elemental ,147,5231,Earth Resist +50%
en_56,Protection from Elemental ,147,5266,Water Resist +50%
en_57,Protection from Elemental ,147,5267,Wind Resist +50%
en_58,Protection from Elemental ,147,5268,Fire Resist +50%
en_59,Holy Walk,52,5220,Movement speed Increased
en_60,Succubus Lure,5012,5370,Teleportation is disabled
en_61,Guards Watch,5013,5370,Teleportation is disabled
en_62,Succubus Queen Fire,5015,5518,Healing is disabled
en_63,Uni Dragon Quagmire,5020,5208,Speed reduced
en_64,Mountain Convex,5022,5208,Speed reduced
en_65,Entangle,152,5232,Haste is disabled
en_66,Soul of Flame,175,5249,Weapon damage Increased
en_67,Storm Walk,172,5281,Increase evasion rate from physical attacks
en_68,Thanksgiving Warmth,1064,5584,MR +10， Long Range and Close Range damage +3
en_69,NULL,1065,5280,NULL
