en_0,Killing
en_1,Betrayal
en_2,Dark
en_3,Legends
en_4,Dark
en_5,Rock
en_6,Mirror
en_7,Ash
en_8,Sealed
en_9,Taboo
en_10,Banaghi
en_11,Flying
en_12,Cruel
en_13,Clever
en_14,Brave
en_15,Angry
en_16,Bloody
en_17,Knight
en_18,Reliable
en_19,Aloof
en_20,Lonely
en_21,Killer
en_22,Evil
en_23,Shining
en_24,Coward
en_25,Unicorn
en_26,Calm
en_27,Loyal
en_28,Lucky
en_29,Agile
en_30,Strong
en_31,Severus
en_32,Bound
en_33,Beast
en_34,Sunny
en_35,Pieceful
en_36,Lion
en_37,Hot
en_38,Ice cold
en_39,Richard
en_40,Strict
en_41,Crazy
en_42,Efforts
en_43,Ginny
en_44,Neville
en_45,Weak
en_46,Ornate
en_47,Silent
en_48,Blatant
en_49,Detailed
en_50,Careless
en_51,Luna
en_52,Ultra
en_53,Gundam
en_54,Real
en_55,Fake
en_56,Fantasy
en_57,Angel ,Darwin
en_58,Dark ,David
en_59,Holy ,Dennis
en_60,Ron ,Derek
en_61,Sly ,Dick
en_62,Harry ,Donald
en_63,Amazing ,Douglas
en_64,Bemused ,Duke
en_65,Brutal ,Dylan
en_66,Cheeky ,Eddie
en_67,Durable ,Edgar
en_68,Strong ,Edison
en_69,Cursed ,Edmund
en_70,Dull ,Edward
en_71,Hard ,Edwin
en_72,Demon ,Elijah
en_73,Sad ,Elliott
en_74,Oozora ,Elvis
en_75,Bushido ,Eric
en_76,Happy ,Ethan
en_77,Freedom ,Eugene
en_78,Karate ,Evan
en_79,Warrior ,Enter
en_80,Runaway ,Ford
en_81,US-based ,Francis
en_82,Taichi ,Frank
en_83,Ishida ,Clyne
en_84,Kira ,Fred
en_85,Lacus ,Gabriel
en_86,Draco ,Gaby
en_87,Garf
en_88,Gary
en_89,Gavin
en_90,Geoffry
en_91,George
en_92,Gino
en_93,Glen
en_94,Glendo
en_95,Hank
en_96,Hardy
en_97,Jon
en_98,Harry
en_99,Hayden
en_100,Henry
en_101,Hilton
en_102,Hugo
en_103,Hunk
en_104,Howard
en_105,Henry
en_106,Ian
en_107,Rickon
en_108,Ivan
en_109,Isaac
en_110,Isaiah
en_111,Jack
en_112,Jackson
en_113,Jacob
en_114,James
en_115,Jason
en_116,Jay
en_117,Jeffery
en_118,Jerome
en_119,Jerry
en_120,Jesse
en_121,Jim
en_122,Jimmy
en_123,Joe
en_124,John
en_125,Johnny
en_126,Jone
en_127,Jordan
en_128,Jose
en_129,Joshua
en_130,Justin
en_131,Keith
en_132,Ken
en_133,Klein
en_134,Kenneth
en_135,Kenny
en_136,Kevin
en_137,Kyle
en_138,Lance
en_139,Larry
en_140,Laurent
en_141,Lawren
en_142,Leander
en_143,Lee
en_144,Leo
en_145,Leonard
en_146,Leopold
en_147,Leslie
en_148,Loren
en_149,Lori
en_150,Lorin
en_151,Louis
en_152,Luke
en_153,Marcus
en_154,Marcy
