en_0,Killing ,Aaron
en_1,Betrayal ,Abel
en_2,Dark ,Abraham
en_3,Legends ,Adam
en_4,Dark ,Adrian
en_5,Oppressive ,Aidan
en_6,In the mirror ,Alva
en_7,Authorities ,Alex
en_8,Sealed ,Alexander
en_9,Taboo ,Alan
en_10,Bloodstained ,Albert
en_11,Flying ,Alfred
en_12,Brilliant ,Andrew
en_13,Clever ,Andy
en_14,Brave ,Angus
en_15,Angry ,Anthony
en_16,Bloody ,Apollo
en_17,Brilliant ,Arnold
en_18,Reliable ,Arthur
en_19,Aloof ,August
en_20,Passionate ,Austin
en_21,Indifferent ,Ben
en_22,Evil ,Benjamin
en_23,Shining ,Bert
en_24,Coward ,Benson
en_25,Impulsive ,Bill
en_26,Calm ,Billy
en_27,Loyal ,Blake
en_28,Lucky ,Bob
en_29,Agile ,Bobby
en_30,Strong ,Brad
en_31,Violent ,Brandon
en_32,Bound ,Brant
en_33,Atonement ,Brent
en_34,Remembrance ,Brian
en_35,Piece wing ,Brown
en_36,Disaster ,Bruce
en_37,Hot ,Caleb
en_38,Ice cold ,Cameron
en_39,Insidious ,Carl
en_40,Strict ,Carlos
en_41,Desultory ,Cary
en_42,Efforts ,Caspar
en_43,Onslaught ,Cecil
en_44,Displaced ,Charles
en_45,Weak ,Cheney
en_46,Ornate ,Chris
en_47,Silent ,Christian
en_48,Blatant ,Christopher
en_49,Detailed ,Clark
en_50,Careless ,Cliff
en_51,Saturnine ,Cody
en_52,Undefeated ,Cole
en_53,Dominated ,Colin
en_54,Real ,Cosmo
en_55,Fake ,Daniel
en_56,Fantasy ,Denny
en_57,Inspiring ,Darwin
en_58,Predatory ,David
en_59,Philosophic ,Dennis
en_60,Fugacious ,Derek
en_61,Sly ,Dick
en_62,Depressed ,Donald
en_63,Amazing ,Douglas
en_64,Bemused ,Duke
en_65,Brutal ,Dylan
en_66,Concentrated ,Eddie
en_67,Durable ,Edgar
en_68,Strong ,Edison
en_69,Cursed ,Edmund
en_70,Dull ,Edward
en_71,Hard ,Edwin
en_72,The worry ,Elijah
en_73,Sad ,Elliott
en_74,Playfully ,Elvis
en_75,The Kichiku ,Eric
en_76,Happy ,Ethan
en_77,Blackening ,Eugene
en_78,Strange force ,Evan
en_79,Perverted ,Enterprise 
en_80,Runaway ,Ford
en_81,US-based ,Francis
en_82,,Frank
en_83,,Franklin
en_84,,Fred
en_85,,Gabriel
en_86,,Gaby
en_87,,Garfield
en_88,,Gary
en_89,,Gavin
en_90,,Geoffrey
en_91,,George
en_92,,Gino
en_93,,Glen
en_94,,Glendo
en_95,,Hank
en_96,,Hardy
en_97,,Harrison
en_98,,Harry
en_99,,Hayden
en_100,,Henry
en_101,,Hilton
en_102,,Hugo
en_103,,Hunk
en_104,,Howard
en_105,,Henry
en_106,,Ian
en_107,,Ignativs
en_108,,Ivan
en_109,,Isaac
en_110,,Isaiah
en_111,,Jack
en_112,,Jackson
en_113,,Jacob
en_114,,James
en_115,,Jason
en_116,,Jay
en_117,,Jeffery
en_118,,Jerome
en_119,,Jerry
en_120,,Jesse
en_121,,Jim
en_122,,Jimmy
en_123,,Joe
en_124,,John
en_125,,Johnny
en_126,,Jonathan
