tw_0,殺戮的,亞倫
tw_1,背叛的,亞伯
tw_2,黑暗的,亞伯拉罕
tw_3,傳說的,亞當
tw_4,漆黑的,艾德里安
tw_5,暴虐的,艾登
tw_6,鏡中的,阿爾瓦
tw_7,機關的,亞曆克斯
tw_8,封印的,亞歷山大
tw_9,禁忌的,艾倫
tw_10,血污的,亞伯特
tw_11,飛舞的,阿爾弗雷德
tw_12,光輝的,安德魯
tw_13,機智的,安迪
tw_14,勇猛的,安格斯
tw_15,憤怒的,安東尼
tw_16,熱血的,阿波羅
tw_17,光輝的,阿諾德
tw_18,可靠的,亞瑟
tw_19,孤高的,奧古斯特
tw_20,熱情的,奧斯丁
tw_21,冷漠的,本
tw_22,邪氣的,本傑明
tw_23,閃耀的,伯特
tw_24,膽小的,本森
tw_25,衝動的,比爾
tw_26,冷靜的,比利
tw_27,忠誠的,布萊克
tw_28,幸運的,鮑伯
tw_29,敏捷的,鮑比
tw_30,強壯的,拉德
tw_31,猛烈的,布蘭登
tw_32,束縛的,布蘭特
tw_33,贖罪的,布倫特
tw_34,追憶的,布賴恩
tw_35,片翼的,布朗
tw_36,災難的,布魯斯
tw_37,熾熱的,迦勒
tw_38,冰冷的,卡梅倫
tw_39,陰險的,卡爾
tw_40,嚴格的,卡洛斯
tw_41,散漫的,凱裡
tw_42,努力的,卡斯帕
tw_43,進擊的,塞西
tw_44,流離的,查理斯
tw_45,無力的,采尼
tw_46,華麗的,克裡斯
tw_47,沉默的,克利斯蒂安
tw_48,喧嘩的,克裡斯多夫
tw_49,細緻的,克拉克
tw_50,粗心的,柯利弗
tw_51,陰沉的,科迪
tw_52,不敗的,科爾
tw_53,支配的,科林
tw_54,真實的,科茲莫
tw_55,虛偽的,丹尼爾
tw_56,幻想的,丹尼
tw_57,威風的,達爾文
tw_58,掠奪的,大衛
tw_59,賢明的,鄧尼斯
tw_60,無常的,德里克
tw_61,狡猾的,狄克
tw_62,失落的,唐納德
tw_63,驚豔的,道格拉斯
tw_64,困惑的,杜克
tw_65,殘暴的,狄倫
tw_66,專注的,埃迪
tw_67,耐久的,愛德格
tw_68,堅固的,愛迪生
tw_69,詛咒的,艾德蒙
tw_70,遲鈍的,愛德華
tw_71,辛勤的,艾德文
tw_72,多慮的,以利亞
tw_73,憂傷的,艾略特
tw_74,傲嬌的,艾維斯
tw_75,鬼畜的,埃裡克?
tw_76,快樂的,伊桑
tw_77,黑化的,柳真
tw_78,怪力的,埃文
tw_79,變態的,福特
tw_80,暴走的,弗蘭克思
tw_81,美型的,弗蘭克
tw_82,,佛蘭克林
tw_83,,弗瑞德
tw_84,,加百利
tw_85,,加比
tw_86,,加菲爾德
tw_87,,加里
tw_88,,加文
tw_89,,傑佛瑞
tw_90,,喬治
tw_91,,基諾
tw_92,,格林
tw_93,,格林頓
tw_94,,漢克
tw_95,,哈帝
tw_96,,哈里森
tw_97,,哈利
tw_98,,海頓
tw_99,,亨利
tw_100,,希爾頓
tw_101,,雨果
tw_102,,亨克
tw_103,,霍華德
tw_104,,亨利
tw_105,,伊恩
tw_106,,伊格納茲
tw_107,,伊凡
tw_108,,以撒
tw_109,,以賽亞
tw_110,,傑克
tw_111,,傑克遜
tw_112,,雅各
tw_113,,詹姆士
tw_114,,詹森
tw_115,,傑伊
tw_116,,傑弗瑞
tw_117,,傑羅姆
tw_118,,傑瑞
tw_119,,傑西
tw_120,,吉姆
tw_121,,吉米
tw_122,,喬
tw_123,,約翰
tw_124,,喬尼
tw_125,,喬納森
tw_126,,喬丹
tw_127,,約瑟夫
tw_128,,約書亞
tw_129,,賈斯汀
tw_130,,凱斯
tw_131,,肯
tw_132,,甘迺迪
tw_133,,肯尼斯
tw_134,,肯尼
tw_135,,凱文
tw_136,,凱爾
tw_137,,蘭斯
tw_138,,拉裡
tw_139,,勞倫特
tw_140,,勞倫斯
tw_141,,里安德爾
tw_142,,李
tw_143,,雷歐
tw_144,,雷納德
tw_145,,利奧波特
tw_146,,萊斯利
tw_147,,勞倫
tw_148,,勞瑞
tw_149,,勞瑞恩
tw_150,,路易士
tw_151,,盧克
tw_152,,馬庫斯
tw_153,,馬西
tw_154,,馬克
tw_155,,馬科斯
tw_156,,瑪律斯
tw_157,,馬歇爾
tw_158,,馬丁
tw_159,,馬文
tw_160,,梅森
tw_161,,馬修
tw_162,,馬克斯
tw_163,,邁克爾
tw_164,,米奇
tw_165,,麥克
tw_166,,南森
tw_167,,納旦尼爾
tw_168,,尼爾
tw_169,,尼爾森
tw_170,,尼古拉斯
tw_171,,尼克
tw_172,,諾亞
tw_173,,諾曼
tw_174,,奧利弗
tw_175,,奧斯卡
tw_176,,歐文
tw_177,,派翠克
tw_178,,保羅
tw_179,,彼得
tw_180,,菲力浦
tw_181,,菲比
tw_182,,昆廷
tw_183,,蘭德爾
tw_184,,藍道夫
tw_185,,蘭迪
tw_186,,雷
tw_187,,雷蒙德
tw_188,,列得
tw_189,,雷克斯
tw_190,,理查
tw_191,,裡奇
tw_192,,瑞利
tw_193,,羅伯特
tw_194,,羅賓
tw_195,,羅賓遜
tw_196,,洛克
tw_197,,羅傑
tw_198,,羅奈爾得
tw_199,,羅文
tw_200,,羅伊
tw_201,,賴安
tw_202,,山姆
tw_203,,薩米
tw_204,,撒母耳
tw_205,,斯考特
tw_206,,肖恩
tw_207,,尚恩
tw_208,,西德尼
tw_209,,西蒙
tw_210,,所羅門
tw_211,,斯派克
tw_212,,斯賓塞
tw_213,,斯派克
tw_214,,斯坦利
tw_215,,史蒂夫
tw_216,,史蒂文
tw_217,,斯圖爾特
tw_218,,斯圖亞特
tw_219,,特倫斯
tw_220,,特裡
tw_221,,泰德
tw_222,,湯瑪斯
tw_223,,提姆
tw_224,,蒂莫西
tw_225,,陶德
tw_226,,湯米
tw_227,,湯姆
tw_228,,湯瑪斯
tw_229,,托尼
tw_230,,泰勒
tw_231,,奧特曼
tw_232,,尤利塞斯
tw_233,,範
tw_234,,弗恩
tw_235,,弗農
tw_236,,維克多
tw_237,,文森特
tw_238,,華納
tw_239,,沃倫
tw_240,,韋恩
tw_241,,衛斯理
tw_242,,威廉
tw_243,,威利
tw_244,,紮克
tw_245,,聖紮迦利
tw_246,,阿比蓋爾
tw_247,,艾比
tw_248,,艾達
tw_249,,阿德萊德
tw_250,,艾德琳
tw_251,,亞曆桑德拉
tw_252,,艾麗莎
tw_253,,艾米
tw_254,,亞曆克西斯
tw_255,,愛麗絲
tw_256,,艾麗西婭
tw_257,,愛琳娜
tw_258,,愛麗森
tw_259,,艾莉莎
tw_260,,艾曼達
tw_261,,艾美
tw_262,,安伯
tw_263,,安德莉亞
tw_264,,安琪
tw_265,,安吉拉
tw_266,,安吉莉亞
tw_267,,安吉莉娜
tw_268,,安
tw_269,,安娜
tw_270,,安妮
tw_271,,安尼塔?
tw_272,,艾莉爾
tw_273,,阿普里爾
tw_274,,阿什利
tw_275,,歐蕊
tw_276,,阿維娃
tw_277,,笆笆拉
tw_278,,芭比
tw_279,,貝亞特
tw_280,,比阿特麗斯
tw_281,,貝基
tw_282,,貝拉
tw_283,,貝斯
tw_284,,貝蒂
tw_285,,布蘭奇
tw_286,,邦妮
tw_287,,布藍達?
tw_288,,布萊安娜
tw_289,,布蘭妮
tw_290,,布列塔尼
tw_291,,卡米爾
tw_292,,莰蒂絲
tw_293,,坎蒂
tw_294,,卡瑞娜
tw_295,,卡門
tw_296,,凱羅爾
tw_297,,卡洛琳
tw_298,,凱麗
tw_299,,凱莉
tw_300,,卡珊多拉
tw_301,,凱西
tw_302,,凱薩琳
tw_303,,凱茜
tw_304,,切爾西
tw_305,,沙琳
tw_306,,夏洛特
tw_307,,切莉
tw_308,,雪麗爾?
tw_309,,克洛伊
tw_310,,克莉絲
tw_311,,克莉絲蒂娜
tw_312,,克裡斯汀
tw_313,,克利斯蒂
