id,colorId,rgbHex
0,1,"0xF24000"
1,2,"0xF240FF"
2,3,"0x00FF50"
3,4,"0x2244AA"
4,5,"0x224444"
5,220,"0x0080ff"
6,221,"0x4da6ff"
5,222,"0x99ccff"
6,223,"0xcce6ff"
7,224,"0x666699"
8,225,"0x9494b8"
9,226,"0xb3b3cc"
10,227,"0xd1d1e0"
11,228,"0xd24dff"
12,229,"0xdf80ff"
13,230,"0xecb3ff"
14,231,"0xf2ccff"
15,232,"0xff4da6"
16,233,"0xff80bf"
17,234,"0xffb3d9"
18,235,"0xffcce6"
19,236,"0xbf00ff"
20,237,"0xd24dff"
21,238,"0xe699ff"
22,239,"0xf2ccff"
23,240,"0xff9933"
24,241,"0xffb366"
25,242,"0xffcc99"
26,243,"0xffd9b3"
27,244,"0x999966"
28,245,"0xadad85"
29,246,"0xc2c2a3"
30,247,"0xd6d6c2"
31,248,"0x33cc00"
32,249,"0x66ff33"
33,250,"0x9fff80"
34,251,"0xc6ffb3"
35,252,"0x008060"
36,253,"0x00ffbf"
37,254,"0x66ffd9"
38,255,"0x99ffe6"
