id,key,value,desc
1,ENABLE_CHAT_EMOJI_UI,0,??????????òh?????¡ê?¡ê??????????1?????0????D??Y
2,ACTION_WAND_RANGE,20,?????????1????1?
3,ACTION_SPELL_DIR_RANGE,20,?????D????????
4,ACTION_SPELL_NO_DIR_RANGE,20,????????D????????
5,ACTION_BLOW_RANGE,8,1-1????1?
6,ENABLE_INVITE_FEATURE,0,????????????1|??????1?????0????D??Y
7,MARKET_DEFAULT_INDEX,1,????????????????????¡ê??
8,MARKET_SPELLBOOK_INDEX,1,????????????????????????¡ê??
9,_COMMON_LOTTERYPANEL_ANI_ROUND_TIME,"1,2,7,8",³éª„„Ó®‹
10,GME_ENABLE_OPEN,1,0:(not display gme ui)  1:(display gme ui)
11,INHERIT_ENCHANCE_LEVEL_F1,5000,ÎäÆ÷À^³ÐŠ»¯µÈ¼‰Ïµ”µ1
12,INHERIT_ENCHANCE_LEVEL_F2,5000,ÎäÆ÷À^³ÐŠ»¯µÈ¼‰Ïµ”µ2
13,INHERIT_ITEM_USE_LEVEL_F1,2200,ÎäÆ÷À^³ÐÎïÆ·Ê¹ÓÃµÈ¼‰Ïµ”µ1
14,INHERIT_ITEM_USE_LEVEL_F2,1200,ÎäÆ÷À^³ÐÎïÆ·Ê¹ÓÃµÈ¼‰Ïµ”µ1
15,INHERIT_BLESSED,"2,2200,2000,2,800",×£¸£ÎäÆ÷À^³ÐŠ»¯µÈ¼‰Ïµ”µ
16,INHERIT_NORMAL,"2,1500,1000,2,500",ÆÕÍ¨ÎäÆ÷À^³ÐŠ»¯µÈ¼‰Ïµ”µ
17,INHERIT_LEVEL_MAX_DIFF,3,ËùÑ¡×°±¸ÓëÄ¿˜Ë×°±¸Ç¿»¯µÈ¼¶²î 
18,JACKPOT_SETTING,2,10,100000,600000000,红包雨设置（最小下落速度，最大下落速度，每0.1秒生成一个，有金色红包线  
19,OPEN_NEW_ATTR_PANEL,1,0:(display old ui) 1:(display new ui)
