id,key,value,desc
1,ENABLE_CHAT_EMOJI_UI,1,??????????騢?????￡?￡??????????1?????0????D??Y
2,ACTION_WAND_RANGE,20,?????????1????1?
3,ACTION_SPELL_DIR_RANGE,20,?????D????????
4,ACTION_SPELL_NO_DIR_RANGE,20,????????D????????
5,ACTION_BLOW_RANGE,20,1-1????1?
6,ENABLE_INVITE_FEATURE,1,????????????1|??????1?????0????D??Y
7,MARKET_DEFAULT_INDEX,1,????????????????????￡??
8,MARKET_SPELLBOOK_INDEX,1,????????????????????????￡??
9,_COMMON_LOTTERYPANEL_ANI_ROUND_TIME,"1,2,7,8",抽獎動畫
10,GME_ENABLE_OPEN,1,0:(not display gme ui) 1:(display gme ui)
11,INHERIT_ENCHANCE_LEVEL_F1,5000,武器繼承強化等級系數1
12,INHERIT_ENCHANCE_LEVEL_F2,5000,武器繼承強化等級系數2
13,INHERIT_ITEM_USE_LEVEL_F1,2200,武器繼承物品使用等級系數1
14,INHERIT_ITEM_USE_LEVEL_F2,1200,武器繼承物品使用等級系數1
15,INHERIT_BLESSED,"2,2200,2000,2,800",祝福武器繼承強化等級系數
16,INHERIT_NORMAL,"2,1500,1000,2,500",普通武器繼承強化等級系數
17,INHERIT_LEVEL_MAX_DIFF,3,所选装备与目標装备强化等级差   
18,JACKPOT_SETTING,"2,10,100000,600000000",speed_min speed_max_time line
19,OPEN_NEW_ATTR_PANEL,1,0:(display old ui) 1:(display new ui)
