id,talentId,desc
1,1001,"Max HP +30"
2,1002,"Max MP +20"
3,1003,"Magic Resist +5"
4,1004,"AC -1"
5,1005,"Damage Reduction +1"
6,1006,"Melee Hit +1"
7,1007,"Ranged Hit +1"
8,1008,"Melee Damage +1"
9,1009,"Ranged Damage +1"
10,1010,"Earth Resist +1"
11,1011,"Fire Resist +1"
12,1012,"Water Resist +1"
13,1013,"Wind Resist +1"
14,1014,"Ranged Evasion +3"
15,1015,"Weight Reduction +10"
16,1016,"Magic Reduction +5"
17,1017,"Extra Magic damage +5"
18,2001,"Max HP +60"
19,2002,"Max MP +40"
20,2003,"Magic Resist +10"
21,2004,"AC -3"
22,2005,"Damage Reduction +2"
23,2006,"Melee Hit +2"
24,2007,"Ranged Hit +2"
25,2008,"Melee Damage +2"
26,2009,"Ranged Damage +2"
27,2010,"Earth Resist +3"
28,2011,"Fire Resist +3"
29,2012,"Water Resist +3"
30,2013,"Wind Resist +3"
31,2014,"STR +1"
32,2015,"CON +1"
33,2016,"DEX +1"
34,2017,"WIS +1"
35,2018,"INT +1"
36,2019,"CHA +1"
37,2020,"Ranged Evasion +10"
38,2021,"Weight Reduction +20"
39,2022,"Magic Reduction +10"
40,2023,"Extra Magic damage +10"
41,3001,"Max HP +150"
42,3002,"Max MP +100"
43,3003,"Magic Resist +15"
44,3004,"AC -7"
45,3005,"Damage Reduction +5"
46,3006,"Melee Hit +5"
47,3007,"Ranged Hit +5"
48,3008,"Melee Damage +5"
49,3009,"Ranged Damage +5"
50,3010,"Earth Resist +5"
51,3011,"Fire Resist +5"
52,3012,"Water Resist +5"
53,3013,"Wind Resist +5"
54,3014,"STR +2"
55,3015,"CON +2"
56,3016,"DEX +2"
57,3017,"WIS +2"
58,3018,"INT +2"
59,3019,"CHA +2"
60,3020,"Ranged Evasion +20"
61,3021,"Weight Reduction +50"
62,3022,"Magic Reduction +20"
63,3023,"Extra Magic damage +20"
