id,talentId,desc
1,1001,"體力+50"
2,1002,"魔力+20"
3,1003,"防禦-1"
4,1004,"魔防+1"
5,1005,"近戰物攻+1"
6,1006,"遠程物攻+1"
7,1007,"近戰命中+1"
8,1008,"遠程命中+1"
9,1009,"額外魔傷+1"
10,1010,"物傷減免+1"
11,1011,"魔傷減免+1"
12,1012,"魔法命中+1"
13,1013,"PVP傷害+1"
14,1014,"PVP傷害減免+1"
15,1015,"命中抵抗+1"
16,1016,"遠程閃避+1"
17,1017,"土防+1"
18,1018,"火防+1"
19,1019,"水防+1"
20,1020,"風防+1"
21,1021,"對不死族的傷害+1"
22,1022,"對惡魔族的傷害+1"
23,1023,"對狼人的傷害+1"
24,1024,"對海族的傷害+1"
25,1025,"對詛咒系的傷害+1"
26,1026,"致盲抗性+1"
27,1027,"冰凍抗性+1"
28,1028,"石化抗性+1"
29,1029,"眩暈抗性+1"
30,1030,"沈默抗性+1"
31,1031,"中毒抗性+1"
32,1032,"獲取經驗加成+5%"
33,2001,"體力+100"
34,2002,"魔力+40"
35,2003,"防禦-2"
36,2004,"魔防+2"
37,2005,"近戰物攻+2"
38,2006,"遠程物攻+2"
39,2007,"近戰命中+2"
40,2008,"遠程命中+2"
41,2009,"額外魔傷+2"
42,2010,"物傷減免+2"
43,2011,"魔傷減免+2"
44,2012,"魔法命中+2"
45,2013,"PVP傷害+2"
46,2014,"PVP傷害減免+2"
47,2015,"命中抵抗+2"
48,2016,"遠程閃避+2"
49,2017,"土防+2"
50,2018,"火防+2"
51,2019,"水防+2"
52,2020,"風防+2"
53,2021,"對不死族的傷害+2"
54,2022,"對惡魔族的傷害+2"
55,2023,"對狼人的傷害+2"
56,2024,"對海族的傷害+2"
57,2025,"對詛咒系的傷害+2"
58,2026,"致盲抗性+2"
59,2027,"冰凍抗性+2"
60,2028,"石化抗性+2"
61,2029,"眩暈抗性+2"
62,2030,"沈默抗性+2"
63,2031,"中毒抗性+2"
64,2032,"魔攻+1"
65,2033,"力量+1"
66,2034,"體質+1"
67,2035,"敏捷+1"
68,2036,"智力+1"
69,2037,"毅力+1"
70,2038,"獲取經驗加成+10%"
71,3001,"體力+150"
72,3002,"魔力+60"
73,3003,"防禦-3"
74,3004,"魔防+3"
75,3005,"近戰物攻+3"
76,3006,"遠程物攻+3"
77,3007,"近戰命中+3"
78,3008,"遠程命中+3"
79,3009,"額外魔傷+3"
80,3010,"物傷減免+3"
81,3011,"魔傷減免+3"
82,3012,"魔法命中+3"
83,3013,"PVP傷害+3"
84,3014,"PVP傷害減免+3"
85,3015,"命中抵抗+3"
86,3016,"遠程閃避+3"
87,3017,"土防+3"
88,3018,"火防+3"
89,3019,"水防+3"
90,3020,"風防+3"
91,3021,"對不死族的傷害+3"
92,3022,"對惡魔族的傷害+3"
93,3023,"對狼人的傷害+3"
94,3024,"對海族的傷害+3"
95,3025,"對詛咒系的傷害+3"
96,3026,"致盲抗性+3"
97,3027,"冰凍抗性+3"
98,3028,"石化抗性+3"
99,3029,"眩暈抗性+3"
100,3030,"沈默抗性+3"
101,3031,"中毒抗性+3"
102,3032,"魔攻+2"
103,3033,"力量+2"
104,3034,"體質+2"
105,3035,"敏捷+2"
106,3036,"智力+2"
107,3037,"毅力+2"
108,3038,"獲取經驗加成+15%"
109,4001,"體力+200"
110,4002,"魔力+100"
111,4003,"防禦-5"
112,4004,"魔防+5"
113,4005,"近戰物攻+5"
114,4006,"遠程物攻+5"
115,4007,"近戰命中+5"
116,4008,"遠程命中+5"
117,4009,"額外魔傷+5"
118,4010,"物傷減免+5"
119,4011,"魔傷減免+5"
120,4012,"魔法命中+4"
121,4013,"PVP傷害+5"
122,4014,"PVP傷害減免+5"
123,4015,"命中抵抗+5"
124,4016,"遠程閃避+5"
125,4017,"土防+5"
126,4018,"火防+5"
127,4019,"水防+5"
128,4020,"風防+5"
129,4021,"對不死族的傷害+5"
130,4022,"對惡魔族的傷害+5"
131,4023,"對狼人的傷害+5"
132,4024,"對海族的傷害+5"
133,4025,"對詛咒系的傷害+5"
134,4026,"致盲抗性+5"
135,4027,"冰凍抗性+5"
136,4028,"石化抗性+5"
137,4029,"眩暈抗性+5"
138,4030,"沈默抗性+5"
139,4031,"中毒抗性+5"
140,4032,"魔攻+3"
141,4033,"力量+3"
142,4034,"體質+3"
143,4035,"敏捷+3"
144,4036,"智力+3"
145,4037,"毅力+3"
146,4038,"獲取經驗加成+30%"
147,4039,"攻擊時3%機率觸發物攻吸血[PVP]"
148,4040,"攻擊時3%機率觸發魔法吸血[PVP]"
149,4041,"攻擊時3%機率觸發物攻吸藍[PVP]"
150,4042,"攻擊時3%機率觸發魔法吸藍[PVP]"
151,4043,"攻擊時3%機率觸發雙重物理打擊[PVP]"
152,4044,"攻擊時3%機率觸發雙重魔法打擊[PVP]"
153,4045,"被攻擊時3%機率觸發免疫1秒內的所有物理傷害[PVP]"
154,4046,"被攻擊時3%機率觸發免疫1秒內的所有魔法傷害[PVP]"
155,5001,"體力+300"
156,5002,"魔力+150"
157,5003,"防禦-8"
158,5004,"魔防+8"
159,5005,"近戰物攻+8"
160,5006,"遠程物攻+8"
161,5007,"近戰命中+8"
162,5008,"遠程命中+8"
163,5009,"額外魔傷+8"
164,5010,"物傷減免+8"
165,5011,"魔傷減免+8"
166,5012,"魔法命中+5"
167,5013,"PVP傷害+8"
168,5014,"PVP傷害減免+8"
169,5015,"命中抵抗+8"
170,5016,"遠程閃避+8"
171,5017,"土防+8"
172,5018,"火防+8"
173,5019,"水防+8"
174,5020,"風防+8"
175,5021,"對不死族的傷害+8"
176,5022,"對惡魔族的傷害+8"
177,5023,"對狼人的傷害+8"
178,5024,"對海族的傷害+8"
179,5025,"對詛咒系的傷害+8"
180,5026,"致盲抗性+8"
181,5027,"冰凍抗性+8"
182,5028,"石化抗性+8"
183,5029,"眩暈抗性+8"
184,5030,"沈默抗性+8"
185,5031,"中毒抗性+8"
186,5032,"魔攻+4"
187,5033,"力量+4"
188,5034,"體質+4"
189,5035,"敏捷+4"
190,5036,"智力+4"
191,5037,"毅力+4"
192,5038,"獲取經驗加成+50%"
193,5039,"攻擊時6%機率觸發物攻吸血[PVP]"
194,5040,"攻擊時6%機率觸發魔法吸血[PVP]"
195,5041,"攻擊時6%機率觸發物攻吸藍[PVP]"
196,5042,"攻擊時6%機率觸發魔法吸藍[PVP]"
197,5043,"攻擊時6%機率觸發雙重物理打擊[PVP]"
198,5044,"攻擊時6%機率觸發雙重魔法打擊[PVP]"
199,5045,"被攻擊時6%機率觸發免疫1秒內的所有物理傷害[PVP]"
200,5046,"被攻擊時6%機率觸發免疫1秒內的所有魔法傷害[PVP]"
