id,dirs,langIndex,dialogName
0,1.0.0,"1143",0
1,1.1.0,"1214","faq_1"
2,1.2.0,"1215","faq_2"
3,1.3.0,"1216","faq_3"
4,1.4.0,"1217","faq_4"
5,1.5.0,"1218","faq_5"
6,1.6.0,"1219","faq_6"
7,1.7.0,"1220","faq_7"
8,1.8.0,"1221","faq_8"
9,1.9.0,"1222","faq_9"
10,1.10.0,"1223","faq_10"
11,1.11.0,"1224","faq_11"
12,1.12.0,"1225","faq_12"
13,2.0.0,"1146",0
14,2.1.0,"1226","faq_13"
15,2.2.0,"1227","faq_14"
16,2.3.0,"1228","faq_15"
17,2.4.0,"1229","faq_16"
18,2.5.0,"1230","faq_17"
19,2.6.0,"1231","faq_18"
20,2.7.0,"1232","faq_19"
21,2.8.0,"1233","faq_20"
22,2.9.0,"1234","faq_21"
23,2.10.0,"1235","faq_22"
24,3.0.0,"1236",0
25,3.1.0,"1237",0
26,3.1.1,"1238","weaponAD1"
27,3.1.2,"1239","weaponBD1"
28,3.1.3,"1240","weaponCD1"
29,3.1.4,"1241","weaponKD1"
30,3.1.5,"1242","weaponMD1"
31,3.1.6,"1243","weaponOD1"
32,3.1.7,"1244","weaponRD1"
33,3.1.8,"1245","weaponTD1"
34,3.2.0,"1246",0
35,3.2.1,"1247","armor1D1"
36,3.2.2,"1248","armor2D1"
37,3.2.3,"1249","armor3D1"
38,3.2.4,"1250","armor11D1"
39,3.2.5,"1251","armor12D1"
40,3.2.6,"1252","armor13D1"
41,3.2.7,"1253","armor14D1"
42,3.2.8,"1254","armor20D1"
43,3.2.9,"1255","armor23D1"
44,3.2.10,"1256","armor27D1"
45,3.2.11,"1257","armor33D1"
46,3.2.12,"1258","armor34D1"
47,3.2.13,"1259","armor42D1"
48,3.2.14,"1260","armor43D1"
49,3.2.15,"1261","armor44D1"
50,3.2.16,"1262","armor53D1"
51,3.2.17,"1263","armor54D1"
52,3.2.18,"1264","armor60D1"
53,3.2.19,"1265","armor74D1"
54,3.2.20,"1266","armor75D1"
55,3.2.21,"1267","armor76D1"
56,4.0.0,"1158","help-rule1"
57,5.0.0,"1159","help-contact1"
58,6.0.0,"1160","Producerlist"
