id,dirs,langIndex,dialogName
0,1.0.0,"1143",0
1,1.1.0,"1233","faq_1"
2,1.2.0,"1234","faq_2_2"
3,1.3.0,"1235","faq_3"
4,1.4.0,"1236","faq_4"
5,1.5.0,"1237","faq_5"
6,1.6.0,"1238","faq_6"
7,1.7.0,"1239","faq_7"
8,1.8.0,"1240","faq_8"
9,1.9.0,"1241","faq_9"
10,1.10.0,"1243","faq_11"
11,1.11.0,"1244","faq_12"
12,2.0.0,"1146",0
13,2.1.0,"1245","faq_13"
14,2.2.0,"1246","faq_14"
15,2.3.0,"1247","faq_15"
16,2.4.0,"1248","faq_16"
17,2.5.0,"1249","faq_17"
18,2.6.0,"1250","faq_18"
19,2.7.0,"1251","faq_19"
20,2.8.0,"2174","faq_28"
21,2.9.0,"1252","faq_20"
22,2.10.0,"1253","faq_21_2"
23,2.11.0,"1254","faq_22"
24,2.12.0,"2186","faq_27"
24,2.13.0,"2185","faq_24"
25,2.14.0,"2843","faq_25"
26,3.0.0,"1158","help-rule1"
27,4.0.0,"1159","faq-contact"
28,5.0.0,"1160","Producerlist"
