id,grade,gradeString,attr
0,0,无,没有军阶
1,1,列兵,体力+10
2,2,下士,体力+10                       魔力+10
3,3,中士,体力+30                       魔力+10\nPVP伤害+1
4,4,高阶军士,体力+30                       魔力+20\nPVP伤害+1
5,5,士官长,体力+50                       防御-1\n体力恢复+1
6,6,守护,体力+100                       防御-2\n体力恢复+1
7,7,血卫士,体力+100                       防御-2\n暴击+1%                          体力恢复+1
8,8,军团士兵,体力+100                       防御-2\n暴击+3%                          体力恢复+1
9,9,百夫长,体力+100                       防御-2\n暴击+3%                           PVP伤害+3
10,10,勇士,体力+100                       暴击+3%\nPVP伤害+3                          PVP伤害减免+3
11,11,司令,所有属性防御+1                       暴击+3%\nPVP伤害+5                                PVP伤害减免+5
12,12,统帅,所有属性防御+1       暴击+3%            PVP伤害+5\nPVP伤害减免+5      体力恢复+5      魔力恢复+5
13,13,元帅,所有属性防御+2       暴击+5%            PVP伤害+7\nPVP伤害减免+7      体力恢复+5      魔力恢复+5
14,14,大元帅,所有属性防御+5       暴击+5%            PVP伤害+10\nPVP伤害减免+10    体力恢复+5      魔力恢复+5
