id,dirs,langIndex,mode
0,1.0.0,630,0
1,1.1.0,981,0
2,1.1.1,986,1
3,1.1.2,987,1
4,1.1.3,988,1
5,1.1.4,989,1
6,1.1.5,990,1
7,1.1.6,991,1
8,1.2.0,982,0
9,1.2.1,992,1
10,1.3.0,983,0
11,1.3.1,998,1
12,1.3.2,999,1
13,1.4.0,984,0
14,1.4.1,986,1
15,1.4.2,987,1
16,1.4.3,988,1
17,1.4.4,989,1
18,1.4.5,990,1
19,1.4.6,991,1
20,1.5.0,985,0
21,1.5.1,986,1
22,1.5.2,987,1
23,1.5.3,988,1
24,1.5.4,989,1
25,2.0.0,974,0
26,2.1.0,625,0
27,2.1.1,1080,0
28,2.1.2,1081,0
29,2.1.3,1082,0
30,2.2.0,604,0
31,2.2.1,49,0
32,2.2.2,50,0
33,2.2.3,51,0
34,2.2.4,52,0
35,2.3.0,605,0
36,2.3.1,49,0
37,2.3.2,50,0
38,2.3.3,51,0
39,2.3.4,52,0
40,2.4.0,606,0
41,2.4.1,49,0
42,2.4.2,50,0
43,2.4.3,51,0
44,2.4.4,52,0
45,2.5.0,610,0
46,2.5.1,49,0
47,2.5.2,50,0
48,2.5.3,51,0
49,2.5.4,52,0
50,2.6.0,607,0
51,2.6.1,49,0
52,2.6.2,50,0
53,2.6.3,51,0
54,2.6.4,52,0
55,2.7.0,608,0
56,2.7.1,49,0
57,2.7.2,50,0
58,2.7.3,51,0
59,2.7.4,52,0
60,2.8.0,609,0
61,2.8.1,49,0
62,2.8.2,50,0
63,2.8.3,51,0
64,2.8.4,52,0
65,3.0.0,975,0
66,3.1.0,613,0
67,3.1.1,49,0
68,3.1.2,50,0
69,3.1.3,51,0
70,3.1.4,52,0
71,3.2.0,616,0
72,3.2.1,49,0
73,3.2.2,50,0
74,3.2.3,51,0
75,3.2.4,52,0
76,3.3.0,614,0
77,3.3.1,49,0
78,3.3.2,50,0
79,3.3.3,51,0
80,3.3.4,52,0
81,3.4.0,615,0
82,3.4.1,49,0
83,3.4.2,50,0
84,3.4.3,51,0
85,3.4.4,52,0
86,3.5.0,617,0
87,3.5.1,49,0
88,3.5.2,50,0
89,3.5.3,51,0
90,3.5.4,52,0
91,3.6.0,618,0
92,3.6.1,49,0
93,3.6.2,50,0
94,3.6.3,51,0
95,3.6.4,52,0
96,3.7.0,619,0
97,3.7.1,49,0
98,3.7.2,50,0
99,3.7.3,51,0
100,3.7.4,52,0
101,4.0.0,976,0
102,4.1.0,623,0
103,4.1.1,49,0
104,4.1.2,50,0
105,4.1.3,51,0
106,4.1.4,52,0
107,4.2.0,621,0
108,4.2.1,49,0
109,4.2.2,50,0
110,4.2.3,51,0
111,4.2.4,52,0
112,4.3.0,620,0
113,4.3.1,49,0
114,4.3.2,50,0
115,4.3.3,51,0
116,4.3.4,52,0
117,4.4.0,622,0
118,4.4.1,49,0
119,4.4.2,50,0
120,4.4.3,51,0
121,4.4.4,52,0
122,5.0.0,1351,0
123,5.1.0,1352,0
124,5.2.0,1353,0
125,5.3.0,1356,0
126,5.4.0,1357,0
127,5.5.0,1354,0
128,5.6.0,1355,0
129,6.0.0,973,0
130,6.1.0,604,0
131,6.1.1,49,0
132,6.1.2,50,0
133,6.1.3,51,0
134,6.1.4,52,0
135,6.2.0,605,0
136,6.2.1,49,0
137,6.2.2,50,0
138,6.2.3,51,0
139,6.2.4,52,0
140,6.3.0,606,0
141,6.3.1,49,0
142,6.3.2,50,0
143,6.3.3,51,0
144,6.3.4,52,0
145,6.4.0,610,0
146,6.4.1,49,0
147,6.4.2,50,0
148,6.4.3,51,0
149,6.4.4,52,0
150,6.5.0,607,0
151,6.5.1,49,0
152,6.5.2,50,0
153,6.5.3,51,0
154,6.5.4,52,0
155,6.6.0,608,0
156,6.6.1,49,0
157,6.6.2,50,0
158,6.6.3,51,0
159,6.6.4,52,0
160,6.7.0,609,0
161,6.7.1,49,0
162,6.7.2,50,0
163,6.7.3,51,0
164,6.7.4,52,0
165,6.8.0,613,0
166,6.8.1,49,0
167,6.8.2,50,0
168,6.8.3,51,0
169,6.8.4,52,0
170,6.9.0,616,0
171,6.9.1,49,0
172,6.9.2,50,0
173,6.9.3,51,0
174,6.9.4,52,0
175,6.10.0,614,0
176,6.10.1,49,0
177,6.10.2,50,0
178,6.10.3,51,0
179,6.10.4,52,0
180,6.11.0,615,0
181,6.11.1,49,0
182,6.11.2,50,0
183,6.11.3,51,0
184,6.11.4,52,0
185,6.12.0,617,0
186,6.12.1,49,0
187,6.12.2,50,0
188,6.12.3,51,0
189,6.12.4,52,0
190,6.13.0,618,0
191,6.13.1,49,0
192,6.13.2,50,0
193,6.13.3,51,0
194,6.13.4,52,0
195,6.14.0,619,0
196,6.14.1,49,0
197,6.14.2,50,0
198,6.14.3,51,0
199,6.14.4,52,0
200,6.15.0,623,0
201,6.15.1,49,0
202,6.15.2,50,0
203,6.15.3,51,0
204,6.15.4,52,0
205,6.16.0,621,0
206,6.16.1,49,0
207,6.16.2,50,0
208,6.16.3,51,0
209,6.16.4,52,0
210,6.17.0,620,0
211,6.17.1,49,0
212,6.17.2,50,0
213,6.17.3,51,0
214,6.17.4,52,0
215,6.18.0,622,0
216,6.18.1,49,0
217,6.18.2,50,0
218,6.18.3,51,0
219,6.18.4,52,0
220,7.0.0,1008,0
221,7.1.0,1009,0
222,7.1.1,1010,0
223,7.1.2,1011,0
224,7.1.3,1012,0
225,7.1.4,1013,0
226,7.2.0,1014,0
227,7.2.1,1015,0
228,7.2.2,1016,0
229,7.2.3,1017,0
230,7.2.4,1018,0
231,7.3.0,1019,0
232,7.3.1,1020,0
233,7.3.2,1021,0
234,7.3.3,1022,0
235,7.3.4,1023,0
236,8.0.0,1024,0
237,8.1.0,1025,0
238,8.1.1,1026,0
239,8.1.2,1027,0
240,8.1.3,1028,0
241,8.1.4,1029,0
242,8.1.5,1030,0
243,8.1.6,1031,0
244,8.2.0,627,0
245,8.2.1,1032,0
246,8.2.2,1033,0
247,8.2.3,1034,0
248,8.2.4,1035,0
249,8.2.5,1036,0
250,8.3.0,1037,0
251,8.3.1,1038,0
252,8.3.2,1039,0
253,8.3.3,1040,0
254,8.3.4,1041,0
255,8.3.5,1042,0
256,8.3.6,507,0
257,8.4.0,1043,0
258,8.4.1,1044,0
259,8.4.2,1045,0
260,8.4.3,507,0
261,8.5.0,1046,0
262,8.6.0,1047,0
263,9.0.0,628,0
264,9.1.0,1048,0
265,9.2.0,1049,0
266,9.3.0,1050,0
267,9.4.0,1051,0
268,10.0.0,1052,0
269,10.2.0,1054,0
270,10.3.0,1055,0
271,11.0.0,1056,0
272,11.1.0,1057,0
273,11.1.1,1058,0
274,11.1.2,1059,0
275,11.1.3,1060,0
276,11.1.4,1061,0
277,11.1.5,1062,0
278,11.2.0,1063,0
279,11.2.1,1058,0
280,11.2.2,1059,0
281,11.2.3,1060,0
282,11.2.4,1061,0
283,11.3.0,1064,0
284,12.0.0,1065,0
285,12.1.0,1066,0
286,12.2.0,1067,0
287,13.0.0,626,0
288,13.1.0,1068,0
289,13.2.0,1069,0
290,13.3.0,1070,0
291,13.4.0,1071,0
292,14.0.0,1072,0
293,14.1.0,1072,0
294,14.2.0,1073,0
295,14.2.1,1074,0
296,14.2.2,1075,0
297,14.2.3,1076,0
298,14.2.4,1077,0
299,15.0.0,507,0
