id,dirs,langIndex,mode
0,1.0.0,630,0
1,1.1.0,981,0
2,1.1.1,986,1
3,1.1.2,987,1
4,1.1.3,988,1
5,1.1.4,989,1
6,1.1.5,990,1
7,1.1.6,991,1
8,1.2.0,982,0
9,1.2.1,992,1
10,1.2.2,993,1
11,1.3.0,983,0
12,1.3.1,998,1
13,1.3.2,999,1
14,1.4.0,984,0
15,1.4.1,986,1
16,1.4.2,987,1
17,1.4.3,988,1
18,1.4.4,989,1
19,1.4.5,990,1
20,1.4.6,991,1
21,1.5.0,985,0
22,1.5.1,986,1
23,1.5.2,987,1
24,1.5.3,988,1
25,1.5.4,989,1
26,1.6.0,1929,0
27,1.6.1,986,1
28,1.6.2,987,1
29,1.6.3,988,1
30,2.0.0,1573,0
31,2.1.0,1574,0
32,2.2.0,1575,0
33,2.3.0,1576,0
34,2.4.0,1577,0
35,2.5.0,1578,0
36,2.6.0,1930,0
37,3.0.0,974,0
38,3.1.0,625,0
39,3.1.1,1080,0
40,3.1.2,1081,0
41,3.1.3,1082,0
42,3.2.0,1960,0
43,3.2.1,1960,0
44,3.2.2,1961,0
45,3.3.0,604,0
46,3.3.1,49,0
47,3.3.2,50,0
48,3.3.3,51,0
49,3.3.4,52,0
50,3.4.0,605,0
51,3.4.1,49,0
52,3.4.2,50,0
53,3.4.3,51,0
54,3.4.4,52,0
55,3.5.0,606,0
56,3.5.1,49,0
57,3.5.2,50,0
58,3.5.3,51,0
59,3.5.4,52,0
60,3.6.0,610,0
61,3.6.1,49,0
62,3.6.2,50,0
63,3.6.3,51,0
64,3.6.4,52,0
65,3.7.0,607,0
66,3.7.1,49,0
67,3.7.2,50,0
68,3.7.3,51,0
69,3.7.4,52,0
70,3.8.0,608,0
71,3.8.1,49,0
72,3.8.2,50,0
73,3.8.3,51,0
74,3.8.4,52,0
75,3.9.0,609,0
76,3.9.1,49,0
77,3.9.2,50,0
78,3.9.3,51,0
79,3.9.4,52,0
80,3.10.0,1931,0
81,3.10.1,1928,0
82,3.11.0,1932,0
83,3.11.1,1928,0
84,3.12.0,1933,0
85,3.12.1,1928,0
86,4.0.0,975,0
87,4.1.0,613,0
88,4.1.1,49,0
89,4.1.2,50,0
90,4.1.3,51,0
91,4.1.4,52,0
92,4.1.5,1928,0
93,4.2.0,616,0
94,4.2.1,49,0
95,4.2.2,50,0
96,4.2.3,51,0
97,4.2.4,52,0
98,4.2.5,1928,0
99,4.3.0,614,0
100,4.3.1,49,0
101,4.3.2,50,0
102,4.3.3,51,0
103,4.3.4,52,0
104,4.3.5,1928,0
105,4.4.0,615,0
106,4.4.1,49,0
107,4.4.2,50,0
108,4.4.3,51,0
109,4.4.4,52,0
110,4.4.5,1928,0
111,4.5.0,617,0
112,4.5.1,49,0
113,4.5.2,50,0
114,4.5.3,51,0
115,4.5.4,52,0
116,4.5.5,1928,0
117,4.6.0,618,0
118,4.6.1,49,0
119,4.6.2,50,0
120,4.6.3,51,0
121,4.6.4,52,0
122,4.6.5,1928,0
123,4.7.0,619,0
124,4.7.1,49,0
125,4.7.2,50,0
126,4.7.3,51,0
127,4.7.4,52,0
128,4.7.5,1928,0
129,4.8.0,2520,0
130,4.8.1,49,0
131,4.8.2,50,0
132,4.8.3,51,0
133,4.8.4,52,0
134,4.8.5,1928,0
135,5.0.0,976,0
136,5.1.0,623,0
137,5.1.1,49,0
138,5.1.2,50,0
139,5.1.3,51,0
140,5.1.4,52,0
141,5.1.5,1928,0
142,5.2.0,621,0
143,5.2.1,49,0
144,5.2.2,50,0
145,5.2.3,51,0
146,5.2.4,52,0
147,5.2.5,1928,0
148,5.3.0,620,0
149,5.3.1,49,0
150,5.3.2,50,0
151,5.3.3,51,0
152,5.3.4,52,0
153,5.3.5,1928,0
154,5.4.0,622,0
155,5.4.1,49,0
156,5.4.2,50,0
157,5.4.3,51,0
158,5.4.4,52,0
159,5.4.5,1928,0
160,6.0.0,1351,0
161,6.1.0,1352,0
162,6.2.0,1353,0
163,6.3.0,1356,0
164,6.4.0,1357,0
165,6.5.0,1354,0
166,6.6.0,1355,0
167,6.7.0,3078,0
168,7.0.0,973,0
169,7.1.0,604,0
170,7.1.1,49,0
171,7.1.2,50,0
172,7.1.3,51,0
173,7.1.4,52,0
174,7.2.0,605,0
175,7.2.1,49,0
176,7.2.2,50,0
177,7.2.3,51,0
178,7.2.4,52,0
179,7.3.0,606,0
180,7.3.1,49,0
181,7.3.2,50,0
182,7.3.3,51,0
183,7.3.4,52,0
184,7.4.0,610,0
185,7.4.1,49,0
186,7.4.2,50,0
187,7.4.3,51,0
188,7.4.4,52,0
189,7.5.0,607,0
190,7.5.1,49,0
191,7.5.2,50,0
192,7.5.3,51,0
193,7.5.4,52,0
194,7.6.0,608,0
195,7.6.1,49,0
196,7.6.2,50,0
197,7.6.3,51,0
198,7.6.4,52,0
199,7.7.0,609,0
200,7.7.1,49,0
201,7.7.2,50,0
202,7.7.3,51,0
203,7.7.4,52,0
204,7.8.0,1931,0
205,7.8.1,1928,0
206,7.9.0,1932,0
207,7.9.1,1928,0
208,7.10.0,1933,0
209,7.10.1,1928,0
210,7.11.0,613,0
211,7.11.1,49,0
212,7.11.2,50,0
213,7.11.3,51,0
214,7.11.4,52,0
215,7.11.5,1928,0
216,7.12.0,616,0
217,7.12.1,49,0
218,7.12.2,50,0
219,7.12.3,51,0
220,7.12.4,52,0
221,7.12.5,1928,0
222,7.13.0,614,0
223,7.13.1,49,0
224,7.13.2,50,0
225,7.13.3,51,0
226,7.13.4,52,0
227,7.13.5,1928,0
228,7.14.0,615,0
229,7.14.1,49,0
230,7.14.2,50,0
231,7.14.3,51,0
232,7.14.4,52,0
233,7.14.5,1928,0
234,7.15.0,617,0
235,7.15.1,49,0
236,7.15.2,50,0
237,7.15.3,51,0
238,7.15.4,52,0
239,7.15.5,1928,0
240,7.16.0,618,0
241,7.16.1,49,0
242,7.16.2,50,0
243,7.16.3,51,0
244,7.16.4,52,0
245,7.16.5,1928,0
246,7.17.0,619,0
247,7.17.1,49,0
248,7.17.2,50,0
249,7.17.3,51,0
250,7.17.4,52,0
251,7.17.5,1928,0
252,7.18.0,623,0
253,7.18.1,49,0
254,7.18.2,50,0
255,7.18.3,51,0
256,7.18.4,52,0
257,7.18.5,1928,0
258,7.19.0,621,0
259,7.19.1,49,0
260,7.19.2,50,0
261,7.19.3,51,0
262,7.19.4,52,0
263,7.19.5,1928,0
264,7.20.0,620,0
265,7.20.1,49,0
266,7.20.2,50,0
267,7.20.3,51,0
268,7.20.4,52,0
269,7.20.5,1928,0
270,7.21.0,622,0
271,7.21.1,49,0
272,7.21.2,50,0
273,7.21.3,51,0
274,7.21.4,52,0
275,7.21.5,1928,0
276,8.0.0,1008,0
277,8.1.0,1009,0
278,8.1.1,1010,0
279,8.1.2,1011,0
280,8.1.3,1012,0
281,8.1.4,1013,0
282,8.1.5,1745,0
283,8.2.0,1014,0
284,8.2.1,1015,0
285,8.2.2,1016,0
286,8.2.3,1017,0
287,8.2.4,1018,0
288,8.2.5,1745,0
289,8.3.0,1019,0
290,8.3.1,1020,0
291,8.3.2,1021,0
292,8.3.3,1022,0
293,8.3.4,1023,0
294,8.3.5,1745,0
295,9.0.0,1024,0
296,9.1.0,1025,0
297,9.1.1,1026,0
298,9.1.2,1027,0
299,9.1.3,1028,0
300,9.1.4,1029,0
301,9.1.5,1030,0
302,9.1.6,1031,0
303,9.2.0,627,0
304,9.2.1,1032,0
305,9.2.2,1033,0
306,9.2.3,1034,0
307,9.2.4,1035,0
308,9.2.5,1036,0
309,9.3.0,1037,0
310,9.3.1,1038,0
311,9.3.2,1039,0
312,9.3.3,1040,0
313,9.3.4,1041,0
314,9.3.5,1042,0
315,9.3.6,507,0
316,9.4.0,1043,0
317,9.4.1,1044,0
318,9.4.2,1045,0
319,9.4.3,507,0
320,9.5.0,1046,0
321,9.6.0,1047,0
322,10.0.0,1678,0
323,10.1.0,1048,0
324,10.2.0,1049,0
325,10.3.0,1679,0
326,10.4.0,1680,0
327,11.0.0,1052,0
328,11.1.0,2725,0
329,11.1.1,2726,0
330,11.1.2,2727,0
331,11.1.3,2728,0
332,11.1.4,2729,0
333,11.1.5,2730,0
334,11.1.6,2731,0
335,11.2.0,1054,0
336,11.3.0,1055,0
337,12.0.0,1056,0
338,12.1.0,1057,0
339,12.1.1,1058,0
340,12.1.2,1059,0
341,12.1.3,1060,0
342,12.1.4,1061,0
343,12.1.5,1593,0
344,12.1.6,1062,0
345,12.2.0,1063,0
346,12.2.1,1058,0
347,12.2.2,1059,0
348,12.2.3,1060,0
349,12.2.4,1061,0
350,12.3.0,1064,0
351,12.4.0,2193,0
352,12.4.1,2194,0
353,12.4.2,2195,0
354,12.4.3,2196,0
355,13.0.0,1732,0
356,13.1.0,1733,0
357,13.1.1,1851,0
358,13.1.2,1852,0
359,13.1.3,1853,0
360,13.1.4,1854,0
361,13.1.5,1855,0
362,13.1.6,1856,0
363,13.1.7,1857,0
364,13.1.8,1858,0
365,13.1.9,1859,0
366,13.1.10,1860,0
367,13.1.11,1861,0
368,13.1.12,1862,0
369,13.1.13,1863,0
370,13.1.14,1864,0
371,13.1.15,1885,0
372,13.2.0,1739,0
373,13.2.1,1865,0
374,13.2.2,1866,0
375,13.2.3,1867,0
376,13.2.4,1868,0
377,13.2.5,1869,0
378,13.2.6,1870,0
379,13.2.7,1871,0
380,13.2.8,1872,0
381,13.2.9,1873,0
