id,mapid,image_count,image_origin_x,image_origin_y,gamemap_origin_x,gamemap_origin_y, gamemap_max_x, gamemap_max_y
1,0,2,0,357,32512,32544,32959,32991
2,100,1,0,154,32640,32672,32831,32863
3,103,1,0,155,32640,32672,32831,32863
4,1112,2,0,308,33024,32896,33407,33663
5,1113,2,0,308,33024,32640,33407,32991
6,1114,2,0,513,32448,33120,33087,33663
7,1115,6,0,410,32064,32832,32575,33663
8,1123,1,0,257,32576,32608,32895,32927
9,59,2,0,308,32544,32384,32927,33151
10,1111,2,0,359,32512,32576,32959,32991
11,1116,2,0,308,32544,32384,32927,33151
12,1201,1,0,128,32672,32704,32831,32863
13,1,2,0,307,32640,32672,32831,32895
14,2,2,0,257,32672,32640,32831,32927
15,7,1,0,256,32672,32704,32831,32863
16,8,1,0,256,32672,32704,32831,32863
17,9,1,0,256,32672,32704,32831,32863
18,10,1,0,258,32672,32704,32831,32831
19,11,1,0,256,32672,32704,32831,32863
20,12,1,0,256,32672,32704,32831,32863
21,13,1,0,256,32672,32704,32831,32863
22,14,2,0,206,32672,32640,32799,32927
23,19,1,0,205,32672,32704,32799,32831
24,20,1,0,205,32672,32704,32799,32831
25,21,1,0,205,32672,32704,32799,32831
26,25,1,0,205,32672,32704,32799,32831
27,26,1,0,205,32672,32704,32799,32831
28,27,1,0,256,32672,32704,32831,32863
29,28,1,0,256,32672,32704,32831,32863
30,30,1,0,256,32672,32704,32831,32863
31,31,1,0,258,32672,32704,32831,32831
32,32,1,0,205,32672,32704,32799,32831
33,33,1,0,205,32672,32704,32799,32831
34,35,1,0,205,32672,32704,32799,32831
35,36,1,0,205,32672,32704,32799,32831
36,60,2,0,308,32640,32704,32831,32863
37,61,1,0,256,32672,32704,32831,32863
38,63,1,0,256,32672,32704,32831,32863
39,66,1,0,205,32672,32704,32799,32831
40,67,1,0,205,32672,32704,32799,32831
41,68,1,0,205,32672,32704,32799,32831
42,69,1,0,205,32672,32704,32799,32831
43,70,1,0,256,32672,32704,32799,32831
44,71,1,0,205,32672,32704,32799,32831
45,72,1,0,256,32672,32704,32831,32863
46,73,1,0,256,32672,32704,32831,32863
47,74,1,0,256,32672,32704,32831,32863
48,75,2,0,307,32640,32672,32831,32863
49,155,1,0,256,32672,32704,32831,32863
