index,gridId,gridX,gridY
1,﻿1,1,1
2,11,3,1
3,12,4,1
4,13,5,1
5,23,7,1
6,24,8,1
7,25,9,1
8,33,11,1
9,34,12,1
10,35,13,1
11,45,15,1
12,46,16,1
13,47,17,1
14,48,18,1
15,49,19,1
16,2,1,2
17,10,3,2
18,14,5,2
19,22,7,2
20,26,9,2
21,32,11,2
22,36,13,2
23,44,15,2
24,50,19,2
25,3,1,3
26,9,3,3
27,15,5,3
28,21,7,3
29,27,9,3
30,31,11,3
31,37,13,3
32,43,15,3
33,52,18,3
34,51,19,3
35,4,1,4
36,8,3,4
37,16,5,4
38,20,7,4
39,28,9,4
40,29,10,4
41,30,11,4
42,38,13,4
43,42,15,4
44,53,18,4
45,5,1,5
46,6,2,5
47,7,3,5
48,17,5,5
49,18,6,5
50,19,7,5
51,39,13,5
52,40,14,5
53,41,15,5
54,54,18,5
55,55,19,5
