id,byte,mask,internalName,nameId,targetType,skillType,lawful,delay,costMp,costHp,iconGfxId,iconGfxFrameId,ranged,costMaterialsId,costMaterialsCount,costLawful,maxMpReduction
0,-1,0x00,Undefined 0,-1,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,0,0,0,0,0,0,0,0,0,0
1,0,0x01,Lesser Heal,0,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,900,4,0,10367,3,-1,0,0,0,0
2,0,0x02,Light,1,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2000,1,0,10367,4,0,0,0,0,0
3,0,0x04,Shield,2,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,800,8,0,10367,5,0,0,0,0,0
4,0,0x08,Energy Bolt,3,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,800,1,0,10367,0,10,0,0,0,0
5,0,0x10,Teleport,4,SKILLS_TARGET_BOOKMARK,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,1200,10,0,10367,6,0,0,0,0,0
6,0,0x20,Ice Dagger,5,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,800,4,0,10367,2,10,0,0,0,0
7,0,0x40,Wind Shuriken,6,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,800,4,0,10367,7,10,0,0,0,0
8,0,0x80,Holy Weapon,7,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2000,10,0,10367,1,0,0,0,0,0
9,1,0x01,Cure Poison,8,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,1200,15,0,10367,9,0,0,0,0,-1
10,1,0x02,Chill Touch,9,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,1100,8,0,10367,8,3,0,0,2,-1
11,1,0x04,Curse Poison,10,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,1000,10,10,10367,10,6,23,1,10,-1
12,1,0x08,Enchant Weapon,11,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2500,20,0,10367,13,0,0,0,0,-1
13,1,0x10,Detection,12,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,900,15,0,10367,12,0,0,0,0,-1
14,1,0x20,Decrease Weight,13,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2400,10,50,10367,11,0,0,0,0,-1
15,1,0x40,Fire Arrow,14,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1000,5,0,10367,14,10,0,0,0,-1
16,1,0x80,Hell Fang,15,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1000,5,0,10367,15,10,0,0,0,-1
17,2,0x01,Lightning,16,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1000,16,0,10367,20,6,0,0,0,-2
18,2,0x02,Turn Undead,17,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1200,20,0,10367,22,10,0,0,0,-2
19,2,0x04,Heal,18,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,1200,15,0,10367,19,-1,0,0,0,-2
20,2,0x08,Curse Blind,19,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,6000,10,0,10367,17,6,23,1,10,-2
21,2,0x10,Blessed Armor,20,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2400,20,0,10367,16,0,0,0,0,-2
22,2,0x20,Frozen Cloud,21,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1000,15,0,10367,18,6,0,0,0,-2
23,2,0x40,Reveal Weakness,22,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1200,8,0,10367,21,-1,0,0,0,-2
24,-1,0x00,Reserved 24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,0x01,Fireball,23,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1100,18,0,10367,26,8,0,0,0,-3
26,3,0x02,Enchant Dexterity,24,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,2400,50,0,10367,25,-1,0,0,0,-3
27,3,0x04,Weapon Break,25,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,6000,18,0,10367,30,6,23,1,10,-3
28,3,0x08,Vampire Touch,26,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,1500,13,0,10367,29,4,0,0,5,-3
29,3,0x10,Slow,27,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,8000,24,0,10367,28,6,23,1,0,-3
30,3,0x20,Earth Jail,28,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1100,18,0,10367,24,8,0,0,0,-3
31,3,0x40,Counter Magic,29,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,6000,20,0,10367,23,0,23,1,0,-3
32,3,0x80,Meditation,30,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2000,5,30,10367,27,0,0,0,0,-3
33,4,0x01,Curse Paralyze,31,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,6000,24,0,10367,33,6,23,2,10,-4
34,4,0x02,Call Lightning,32,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1700,18,0,10367,31,10,0,0,0,-4
35,4,0x04,Greater Heal,33,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,2000,20,0,10367,35,-1,0,0,0,-4
36,4,0x08,Tame Monster,34,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,10000,35,0,10367,38,-1,23,1,0,-4
37,4,0x10,Remove Curse,35,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,6000,20,0,10367,37,-1,23,3,0,-4
38,4,0x20,Cone of Cold,36,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1600,18,0,10367,32,10,0,0,0,-4
39,4,0x40,Mana Drain,37,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3000,0,25,10367,36,6,0,0,0,0
40,4,0x80,Darkness,135,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,6000,25,0,10367,34,6,23,1,10,-4
41,5,0x01,Create Zombie,39,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,10000,45,0,10367,41,-1,23,1,0,-5
42,5,0x02,Enchant Mighty,40,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,1800,50,0,10367,42,-1,0,0,0,-5
43,5,0x04,Haste,41,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,2000,60,0,10367,44,-1,23,2,0,-5
44,5,0x08,Cancel Magic,42,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,6000,40,0,10367,40,-1,23,2,0,-5
45,5,0x10,Eruption,43,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1600,21,0,10367,43,8,0,0,0,-5
46,5,0x20,Sunburst,44,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3000,20,0,10367,45,6,0,0,0,-5
47,5,0x40,Weakness,142,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,6000,16,0,10367,46,6,23,1,10,-5
48,5,0x80,Bless Weapon,137,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,2400,20,0,10367,39,-1,0,0,0,-5
49,6,0x01,Heal Pledge,47,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,2200,50,30,10368,1,0,0,0,0,-6
50,6,0x02,Freeze,48,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3000,36,0,10367,49,6,0,0,0,-6
51,6,0x04,Summon Monster,49,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_CHAOTIC,8000,55,0,10368,4,0,23,1,0,-6
52,6,0x08,Holy Walk,130,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,3000,30,0,10368,2,0,23,5,0,-6
53,6,0x10,Tornado,51,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2600,40,0,10368,5,0,0,0,0,-6
54,6,0x20,Barbaric Walk,146,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,1200,20,0,10368,0,-1,23,2,0,-6
55,6,0x40,Berserkers,132,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,1600,40,0,10367,47,-1,0,0,0,-6
56,6,0x80,Disease,138,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,6000,16,0,10367,48,6,23,1,10,-6
57,7,0x01,Full Heal,55,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,3000,48,0,10368,9,-1,0,0,0,-7
58,7,0x02,Iceberg,144,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,3800,50,0,10368,8,6,0,0,35,-7
59,7,0x04,Blizzard,57,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_CHAOTIC,4000,60,10,10368,6,0,0,0,10,-7
60,7,0x08,Blood Sacrifice,147,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2000,48,0,10368,10,0,0,0,0,-7
61,7,0x10,Resurrection,59,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,8000,50,0,10368,12,-1,0,0,0,-7
62,7,0x20,Earth Quake,60,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2600,42,0,10368,7,0,0,0,0,-7
