id,effect_id,attr
0,0,没有属性
1,1,PVP额外魔伤+1
2,2,PVP近战命中+1
3,3,PVP近战物攻+1
4,4,PVP远程命中+1
5,5,PVP远程物攻+1
6,6,PVP额外魔伤+2
7,7,PVP近战命中+2
8,8,PVP近战物攻+2
9,9,PVP远程命中+2
10,10,PVP远程物攻+2
11,11,PVP额外魔伤+3
12,12,PVP近战命中+3
13,13,PVP近战物攻+3
14,14,PVP远程命中+3
15,15,PVP远程物攻+3
16,16,PVP额外魔伤+4
17,17,PVP近战命中+4
18,18,PVP近战物攻+4
19,19,PVP远程命中+4
20,20,PVP远程物攻+4
21,21,力量+1
22,22,敏捷+1
23,23,智力+1
24,1001,体力+10
25,1002,体力+30
26,1003,体力+60
27,1004,魔力+5
28,1005,魔力+15
29,1006,魔力+30
30,1007,PVP物伤减免+1
31,1008,PVP物伤减免+3
32,1009,PVP物伤减免+6
33,1010,PVP魔伤减免+1
34,1011,PVP魔伤减免+3
35,1012,PVP魔伤减免+6
36,1013,物伤减免+1
37,1014,魔伤减免+1
38,2001,使用恢复体力的药水时，恢复量提高2%
39,2002,使用恢复体力的药水时，恢复量提高6%
40,2003,使用恢复魔力的药水时，恢复量提高2%
41,2004,使用恢复魔力的药水时，恢复量提高6%
42,2005,受到角色的物理攻击时，最终伤害减少2%
43,2006,受到角色的物理攻击时，最终伤害减少6%
44,2007,受到角色的魔法攻击时，最终伤害减少2%
45,2008,受到角色的魔法攻击时，最终伤害减少6%
46,2009,对角色使用物理攻击时，最终伤害增加2%
47,2010,对角色使用物理攻击时，最终伤害增加6%
48,2011,对角色使用魔法攻击时，最终伤害增加2%
49,2012,对角色使用魔法攻击时，最终伤害增加6%
50,2013,对角色使用物理攻击时，忽视目标5%的物理减伤
51,2014,对角色使用物理攻击时，忽视目标15%的物理减伤
52,2015,对角色使用魔法攻击时，忽视目标5%的魔法减伤
53,2016,对角色使用魔法攻击时，忽视目标15%的魔法减伤
54,2017,受到角色的物理攻击时，提高自身5%的物理减伤
55,2018,受到角色的物理攻击时，提高自身10%的物理减伤
56,2019,受到角色的魔法攻击时，提高自身5%的魔法减伤
57,2020,受到角色的魔法攻击时，提高自身10%的魔法减伤
58,2021,击杀怪物时，获取的基础经验提高2%
59,2022,击杀怪物时，获取的基础经验提高4%
