Name,id,index,str,con,dex,wis,int,cha,tips
ROYAL,0,0,13,18,10,11,10,13,872
ROYAL,0,1,20,11,10,11,10,13,873
ROYAL,0,2,18,13,10,11,10,13,874
ROYAL,0,3,16,10,10,11,10,18,875
ROYAL,0,4,13,10,10,16,13,13,876
KNIGHT,1,0,20,14,12,9,8,12,877
KNIGHT,1,1,16,18,12,9,8,12,878
KNIGHT,1,2,18,14,13,10,8,12,879
ELF,2,0,11,13,18,12,12,9,880
ELF,2,1,11,13,12,12,18,9,881
ELF,2,2,11,18,12,12,13,9,882
ELF,2,3,14,12,12,12,16,9,883
ELF,2,4,11,12,15,12,16,9,884
ELF,2,5,11,13,12,18,12,9,885
MAGE,3,0,8,16,7,18,18,8,886
MAGE,3,1,8,18,7,18,16,8,887
MAGE,3,2,13,16,7,13,18,8,917
