id,titleId,title,gfxId,frameId,useText,offsetX,offsetY,order,attrGroup,attr,desc
1,1,自定义,0,0,1,0,0,0,1,无,默认获得
2,2,\f=沙棘木城堡,5806,0,1,0,0,1,1,體力+20  物傷減免+2\n魔傷減免+2,血盟在攻城戰中成功佔領沙棘木城堡（僅佔領期間生效）
3,3,\f=妖魔城堡,5806,0,1,0,0,2,1,近戰物攻+3,血盟在攻城戰中成功佔領妖魔城堡（僅佔領期間生效）
4,4,\f=妖魔城堡,5806,0,1,0,0,3,1,遠程物攻+3,血盟在攻城戰中成功佔領妖魔城堡（僅佔領期間生效）
5,5,\f=妖魔城堡,5806,0,1,0,0,4,1,魔攻+1  額外魔傷+1,血盟在攻城戰中成功佔領妖魔城堡（僅佔領期間生效）
6,6,\f=達特福德城堡,5806,0,1,0,0,5,1,近戰物攻+3  物傷減免+2\n魔傷減免+2,血盟在攻城戰中成功佔領達特福德城堡（僅佔領期間生效）
7,7,\f=達特福德城堡,5806,0,1,0,0,6,1,遠程物攻+3  物傷減免+2\n魔傷減免+2,血盟在攻城戰中成功佔領達特福德城堡（僅佔領期間生效）
8,8,\f=達特福德城堡,5806,0,1,0,0,7,1,魔攻+1  額外魔傷+2\n物傷減免+2  魔傷減免+2,血盟在攻城戰中成功佔領達特福德城堡（僅佔領期間生效）
9,9,軍團新兵,5806,0,1,0,0,8,2,體力+40,1天內完成職業試煉1
10,10,軍團精銳,5806,0,1,0,0,9,2,體力+60  近戰物攻+1,3天內完成職業試煉2
11,11,軍團鐵騎,5806,0,1,0,0,10,2,體力+80  近戰物攻+2\n物傷減免+1  魔傷減免+1,5天內完成職業試煉3
12,12,軍團戰王,5806,0,1,0,0,11,2,體力+100  近戰物攻+3\n物傷減免+2  魔傷減免+2,7天內完成職業試煉4
