en_0,"A dagger with great power. Normally will act like an ordinary dagger, but will sometime kill the target instantly."
en_1,"People will receive magical breath after praying to god in new year, which can bring good luck to the prayers. \nGo to Maros Town, Sandwood Town or Damelot Town. Find \fW New Year Emissary \f> to redeem the prizes."
en_2,"Trainee's Dagger. Dagger used by novice."
en_3,"A mithril dagger with magical powers that helps recover your MP."
en_4,"An orichalcum dagger will not be damaged."
en_5,"Get ten elemental fossils of one random element type of four after use."
en_6,"Rare spellbooks with great magical power record the advanced magical skills.  \nCategory: Level 5 Magic (Normal)\nEffect: Scroll Shadow of Drow to cover enemies. Has a certain chance to make the target blind and decrease the target's hit rate by 40%. It lasts for 24 seconds. Casting the spell will trigger the judgement of law. 10 lawful will be decreased. The success rate is related to your INT and target's resist-blind stat. \nLearning Requirement: \nMage: Level 20\nElf: Level 40"
en_7,"\f=Limited Item. Disappear at 10 A.M on June 13th. \f>\nTears of Memory can reset the INT and WIS stat point disttributed after Level 49. \nLevel Requirement: Above level 50\nFind Mia [Stat Point Reset] under the World Tree\f> to learn related details."
en_8,"Bran’s sword was cursed by somebody."
en_9,"Only used for enchant \fWWindfall Sword[Embryo]\f>. The rate of successful enchant is same as enchant rate of normal weapon. It will successfully enchant into \fW+9 Windfall Sword[Embryo]\f>. Embryo and scroll of enchant will both disappear when the enchant fails. \n\fWWindfall Sword[Embryo]\f> can only be enchanted up to +9. Keep enchanting will not increase the enchant level."
en_10,"This sword has a higher hit rate than other swords, and can stab between the armor plates of your enemies."
en_11,"An Elven Sword which has been endowed by the most honorable Elder among the Elves."
en_12,"This is a special power-boosting long sword."
en_13,"Engraved monument can reset the original stats and reupgrade to level 10. It can also keep the appened stat after level 49. \nLevel Requirement: Level 50\nFind Mia [Stat Point Reset] under the World Tree\f> to learn related details."
en_14,"\f3Unwearable.\f>\n\f3Can't be used for enchant mutation. \f>\nUse \fWScroll of Windfall Sword Enchant Exclusive\f> to enchant. It will successfully enchant into \fW+9 Windfall Sword [Embryo]\f>. Embryo and scroll of enchant will both disappear when the enchant fails. \n\fWWindfall Sword [Embryo]\f> can only be enchanted up to +9. Keep enchanting will not increase the enchant level. \n\fW+9 Windfall Sword\f> can be used for enchant mutation."
en_15,"A novice one-handed sword, good for beginners."
en_16,"A special sword with strong resistance to damage (not damageable)."
en_17,"\f3Unwearable. \f>\nCan be used in Maros \fWRambo\f> for enchant mutation."
en_18,"A Shamshir that is made of Orichalcum, a legendary metal that is not damageable."
en_19,"\fWHide Valley\f> event point prizes can be used to redeem Badge of Bravery or to add use times of Badge of Bravery. \nExchange for one Badge of Bravery cost 3 event point prizes. Add 1 extra use times of Badge of Bravery cost 1 event point prize. \nWhen the remain number of uses are less than 300 (inclusive), use 1 Brave Source to add 150 extra use times of Badge of Bravery."
en_20,"\fWHide Valley\f> event point prizes can be used to redeem Fearless Badge or to add number of uses of Fearless Badge. \nExchange for one Fearless Badge cost 3 event point prizes. Add 1 extra use times of Fearless Badge cost 1 event point prize. \nWhen the remain number of uses are less than 300 (inclusive), use 1 Fearless Source to add 150 extra use times of Fearless Badge."
en_21,"Glass bottles filled with white magical potion that helps recover your HP. \nReusable. \n\f3Can only be used in war zone during the Siege War."
en_22,"A novice two-handed sword, good for beginners."
en_23,"Can be teleported to Sandwood Castle."
en_24,"Redeem it with \fWHide Valley\f> event point prize [Brave Source].\n Maximum number of uses: 450 times. \nObtain 900 seconds of bravry blessing status: \n\f=Resist -2 during the effective time\f>. \nWhen the remain number of uses are less than 300 (inclusive), use Brave Source to add extra use times."
en_25,"Redeem for it with \fWHide Valley\f> event point prize [Fearless Source].\n Maximum number of uses: 450 times. \nObtain 900 seconds of fearless blessing status: \n\f=Resist -2 during the effective time. When under attack, physical / magical damage -2 \f>. \nWhen the remain number of uses are less than 300 (inclusive), use Fearless Source to add extra use times."
en_26,"The staff used by Bran. Can summon lightning to smite your enemies."
en_27,"\f=Limited Item in 7 days.\f>\nAdventurers above Level 40 with coupon can go to Maros and find \fWMills\f> to exchange for \fWHide Valley Stone Box(Oath)\f> when the \fWHide Valley\f> event is on."
en_28,"This sword was used by the Death Knight when he hunted dragons. It carries their resentment within its blade."
en_29,"A demonic sword which continuously drains your HP, but makes your actions faster."
