de_0,"Client:%s Ressource:%u"
de_1,"Neustes Teon herunterladen"
de_2,"Verbindung zum Spielserver ... (bereit)"
de_3,"Patch wird aktualisiert (%s, %u->%u) %u%%. Bitte warten ..."
de_4,"Patch wird aktualisiert (%s, %u->%u). Bitte warten ..."
de_5,"Verbindung zum Server ..."
de_6,"Verbindung zum Server ... (verbunden)"
de_7,"Verbindung zum Server ... (fehlgeschlagen)"
de_8,"Verbindung zum Server ... (Protokollfehler)"
de_9,"Verbindung fehlgeschlagen. Bitte erneut versuchen."
de_10,"Verbindung zum Server ... (handshaking)"
de_11,"Spieleressourcen werden extrahiert ..."
de_12,"Verbindung zum Patch-Server ..."
de_13,"Verbindung zum Patch-Server ... (Empfang von Updates)"
de_14,"Verbindung zum Patch-Server ... (fehlgeschlagen)"
de_15,"Update fehlgeschlagen. Bitte erneut versuchen."
de_16,"Updates werden abgerufen ... (%u/%u) %s"
de_17,"Patch wird aktualisiert (vollständiges Update, %u->%u). Bitte warten ..."
de_18,"Patch wird aktualisiert (teilweises Update, %u->%u). Bitte warten ..."
de_19,"Update fehlgeschlagen. Bitte neu starten. (unbekannter Update-Code:%s)"
de_20,"Update fehlgeschlagen. Bitte neu starten. (ungültiger Update-Code:%s)"
de_21,"Patch wird extrahiert (%s, %u->%u). Bitte warten ...(%d%%)"
de_22,"Update fehlgeschlagen. Bitte neu starten ... (Extraktion fehlgeschlagen)"
de_23,"Patch-Update fehlgeschlagen. Fehler beim Update. Download/Reload wird neu gestartet."
de_24,"Patch-Update fehlgeschlagen. Bitte versuchen, den Patch erneut herunterzuladen"
de_25,"Speicher bereinigen (mindestens %fG). Auf Bildschirm tippen und Update neu starten."
de_26,"Nicht genug Speicherplatz. Update abgebrochen."
de_27,　Bestätigen　|　Abbrechen　
de_28,　OK　
de_29,"Anmeldung bei Google Play fehlgeschlagen. Bitte Status der zugehörigen Komponenten überprüfen."
de_30,"\fKClient:%s Ressource:%u"
de_31,"Benutzerkonto existiert bereits"
de_32,"Das Passwort war falsch"
de_33,"Konto gesperrt. E-Mail an:cs@lakoo.com\nBitte im E-Mail-Betreff Teon-Konto angeben, in der E-Mail Kontoinformationen nennen."
de_34,"Dieses Konto ist bereits angemeldet."
de_35,"Konto oder Passwort ungültig"
de_36,Fehlercode:%d
de_37,"Login fehlgeschlagen, %s"
de_38,"Konto und Passwort dürfen nicht leer sein. Bitte erneut eingeben."
de_39,"Dein neues Passwort und die Bestätigung sind nicht identisch. Bitte Passwörter erneut eingeben."
de_40,"Abruf der Kontodaten von Google Play nicht möglich. Bitte erneut versuchen"
de_41,"\fKKonto"
de_42,"\fKPass"
de_43,"\fKLogin"
de_44,"\fKReg"
de_45,"\fKAbbrechen"
de_46,"\fKPass,"
de_47,"\fKGoogle"
de_48,Hinweis
de_49,Königlich
de_50,Ritter
de_51,Elf
de_52,Magier
de_53,Dunkelelf
de_54,Drachenritter
de_55,Illusionist
de_56,"Unbekannte Klasse"
de_57,Char
de_58,Tasche
de_59,Fähigkeit
de_60,Quest
de_61,Lok.
de_62,Soz.
de_63,Gesamt
de_64,Clan
de_65,Beenden
de_66,Info
de_67,Fertig
de_68,Abbrechen
de_69,Lesezeichen-Einstellung
de_70,"Lesezeichen hinzufügen"
de_71,LESEZEICHEN
de_72,"Löschen des Lesezeichens bestätigen"
de_73,"Löschen des Lesezeichens „%s” bestätigen"
de_74,"Nachricht senden"
de_75,Chat
de_76,Beenden?
de_77,"Neustart | Server | Beenden "
de_78,Wiederbeleben
de_79,"Du bist tot"
de_80,"Stadt neu starten | Spiel beenden "
de_81,"Getrennt. Grund:%u"
de_82,Getrennt
de_83,"Nicht identifiziertes Element auswählen"
de_84,Gewicht
de_85,"\fKChar"
de_86,"\fKSperr"
de_87,"\fKSort"
de_88,Rechtmäßig
de_89,Chaotisch
de_90,Neutral
de_91,PM
de_92,Mail
de_93,Sperren
de_94,Löschen
de_95,Spielername
de_96,Clanname
de_97,Titel
de_98,Klasse
de_99,Level
de_100,"Freund hinzufügen"
de_101,Hinweis:
de_102,Clanname:
de_103,Anführer:
de_104,Burg:
de_105,Mitglied:
de_106,"Willkommen zum neuen Clan!"
de_107,Kauf
de_108,Einstellung
de_109,"Login erfolgreich"
de_110,Eingangsmenge:
de_111,Shop
de_112,Summe
de_113,"\fK Kaufen"
de_114,"\fK Verkaufen"
de_115,"Charakter erzeugen"
de_116,"Charakternamen eingeben"
de_117,"Deine Punkte für die Attribute verteilen:Autom./manuell"
de_118,"Individuelle Punktverteilung bestätigen"
de_119,"Diese Klasse ist nicht freigegeben. Bitte erneut wählen."
de_120,"Es sind noch Punkte zu vergeben. Weiterverarbeitung nach Verteilung aller Punkte"
de_121,"Systemfehler. Bitte erneut eingeben."
de_122,"Dieser Name existiert bereits. Bitte erneut eingeben."
de_123,"Ungültiger Name. Bitte erneut versuchen."
de_124,"Erstellung fehlgeschlagen (ungültige Punkteverteilung). Bitte erneut versuchen."
de_125,"Erstellung fehlgeschlagen (Max. Anzahl der Charaktere erreicht). Bitte erneut versuchen."
de_126,"Ungültiger Name. Bitte erneut versuchen."
de_127,"Ungültige Charakterinfos. Bitte erneut versuchen."
de_128,Team
de_129,"Freund hinzufügen"
de_130,Handel
de_131,PM
de_132,Chat
de_133,"Aktiver Angriff"
de_134,Folgen
de_135,"Ungültiger Typ"
de_136,"Team erstellen"
de_137,Beenden
de_138,"Max. Zeichen-Limit überschritten (0-%d)."
de_139,"Handel abgebrochen"
de_140,"Handel erfolgreich"
de_141,Handel
de_142,"Betrag eingeben:"
de_143,"\f7 Freigeben"
de_144,"\f7 Sperren"
de_145,"\fK Sperren"
de_146,"\fK Bestätigen"
de_147,"Meine Objekte \f=(Vorsicht vor Betrug/Schwindel)"
de_148,Markt
de_149,"Artikel verkauft"
de_150,Angebot
de_151,Kaufen
de_152,Verkaufen
de_153,Sammeln
de_154,Artikel
de_155,Name
de_156,"Verbleibende Zeit"
de_157,Preis
de_158,Status
de_159,"\fKKaufen"
de_160,"\fKAbgebrochen"
de_161,"\fKSammeln"
de_162,"Nach Namen suchen"
de_163,"Max. Wortlänge überschritten"
de_164,"Anzahl der Artikel:"
de_165,"\fKAlle"
de_166,Preis:
de_167,Summe:
de_168,"Angebot gültig bis:"
de_169,"12 h"
de_170,"24 h"
de_171,"48 h"
de_172,Bearbeitungsgebühr:
de_173,"\fK Verkaufen"
de_174,"\fK Abgebrochen"
de_175,"Betrag eingeben"
de_176,"Preis eingeben"
de_177,"\f3 Verflucht "
de_178,"\f2 Gesegnet "
de_179,"\f>Klasse:"
de_180,"\f>Alle Klassen"
de_181,"\f>[Königlich]"
de_182,"\f>[Ritter]"
de_183,"\f>[Elf]"
de_184,"\f>[Magier]"
de_185,"%s\f>Schaden (S/L):%d/%d \n"
de_186,"%s%sRK:%d "
de_187,"%s\f>Material:%s\nGewicht:%u "
de_188,"\f3Nicht handelbar "
de_189,"\f2Nicht zerstörbar "
de_190,"\f>Zweihandwaffe "
de_191,"%s\f3Nicht verzauberbar "
de_192,"%s\f2Sicher hochstufen:%d "
de_193,"%s\f>%sHochstufen:%+d "
de_194,"%s\f>%sZerbrechen:%d "
de_195,"%s\f>%sTrefferbonus:%+d "
de_196,"%s\f>%sSchaden:%+d "
de_197,"%s\f>%sFerntreffer:%+d "
de_198,"%s\f>%sFernschaden:%+d "
de_199,"%s\f>%sStr:%+d "
de_200,"%s\f>%sGes:%+d "
de_201,"%s\f>%sKon:%+d "
de_202,"%s\f>%sWei:%+d "
de_203,"%s\f>%sInt:%+d "
de_204,"%s\f>%sCha:%+d "
de_205,"%s\f>%sLuk:%+d "
de_206,"%s\f>%sLP:%+d "
de_207,"%s\f>%sMP:%+d "
de_208,"%s\f>%sMR:%+d "
de_209,"%s\f>%sFrostwiderstand:%+d%% "
de_210,"%s\f>%sLähmwiderstand:%+d%% "
de_211,"%s\f>%sHypnosewiderstand:%+d%% "
de_212,"%s\f>%sBlendwiderstand:%+d%% "
de_213,"%s\f>%sBetäubungswiderstand:%+d%% "
de_214,"%s\f>%sBindungswiderstand:%+d%% "
de_215,"\f2LP ziehen "
de_216,"\f2MP ziehen "
de_217,"%s\f>%sLP wiederherstellen:%+d "
de_218,"%s\f>%sMP wiederherstellen:%+d "
de_219,"%s\f>%sSP:%+d "
de_220,"\f2Hasteffekt "
de_221,"%s\f>Ernährung:%d "
de_222,"%s\f>Blitzschlagbereich:%d "
