en_0,"Client: %s Resource: %u"
en_1,"Download the latest Teon"
en_2,"Connecting to game server...(ready)"
en_3,"Updating patch (%s, %u->%u) %u%%, please wait..."
en_4,"Updating patch (%s, %u->%u), please wait..."
en_5,"Connecting to server..."
en_6,"Connecting to server...(connected)"
en_7,"Connecting to server...(failed)"
en_8,"Connecting to server....(The server may be undergoing maintaince. \n Please come back a little bit later.)"
en_9,"Connection failed, please try again"
en_10,"Connecting to server...(handshaking)"
en_11,"Extracting game resources..."
en_12,"Connecting to patching server..."
en_13,"Connecting to patching server...(receiving updates)"
en_14,"Connecting to patching server...(failed)"
en_15,"Update failed, please try again"
en_16,"Receiving updates...(%u/%u) %s"
en_17,"Updating patch (full update, %u->%u), please wait..."
en_18,"Updating patch (partial update, %u->%u), please wait..."
en_19,"Update failed, please restart. (unknown update code: %s)"
en_20,"Update failed, please restart. (invalid update code: %s)"
en_21,"Extracting patch (%s, %u->%u), please wait...(%d%%)"
en_22,"Update failed, please restart.. (extraction failed)"
en_23,"An error occurred during update. Download will be restarted."
en_24,"Update failed, please try downloading again."
en_25,"Please exit the game and make sure to have at lease %fG storage space to run the update properly."
en_26,"There is not enough storage on your device. The update is canceled."
en_27," Confirm  |　Cancel　"
en_28," OK "
en_29,"Can not log in to Google play, please make sure you have installed the necessary components."
en_30,"\fKClient: %s Resource: %u"
en_31,"Account already exists"
en_32,"Incorrect Password"
en_33,"Your account is banned. Please Contact: cs@teonworld.com\nPlease included ""Teon-ACC"" in the title and list your account info in your email."
en_34,"This Account is Already Logged in."
en_35,"Invalid account or password."
en_36,"Error Code: %d"
en_37,"Login Failed，%s"
en_38,"Account and password could not be empty. Please try again."
en_39,"Your new and confirm password are different. Please enter your passwords again."
en_40,"Unable to connect to Google Play. Please try again."
en_41,"\fKAcc"
en_42,"\fKPwd"
en_43,"\fKLogin"
en_44,"\fKReg"
en_45,"\fKCancel"
en_46,"\fKPwd"
en_47,"\fKGoogle"
en_48,"Notice"
en_49,"Royal"
en_50,"Knight"
en_51,"Elf"
en_52,"Mage"
en_53,"Dark Elf"
en_54,"Dragon Knight"
en_55,"Illusionist"
en_56,"Unknown Class"
en_57,"     Character"
en_58,"     Bag"
en_59,"     Spell"
en_60,"     Quest"
en_61,"Loc"
en_62,"     Social"
en_63,"     General"
en_64,"     Clan"
en_65,"Exit"
en_66,"Info"
en_67,"Done"
en_68,"Cancel"
en_69,"Bookmark Setting"
en_70,"Add Bookmark"
en_71,"Bookmark"
en_72,"Confirm delete bookmark"
en_73,"Confirm delete bookmark'%s'"
en_74,"Send Message"
en_75,"Chat"
en_76,"Want to exit?"
en_77,"Menu | Server | Exit "
en_78,"Revive"
en_79,"You are Dead"
en_80,"Town respawn"
en_81,"Disconnected, Reason: %u"
en_82,"Disconnected"
en_83,"Select an item."
en_84,"Weight"
en_85,"\fKChar"
en_86,"\fKLock"
en_87,"\fKSort"
en_88,"Lawful"
en_89,"Chaotic"
en_90,"Neutral"
en_91,"PM"
en_92,"Mail"
en_93,"Block"
en_94,"Delete"
en_95,"Player Name"
en_96,"Clan Name"
en_97,"Title"
en_98,"Class"
en_99,"Level"
en_100,"Add Friend"
en_101,"Notice:"
en_102,"Clan Name:"
en_103,"Leader:"
en_104,"Castle:"
en_105,"Member:"
en_106,"Welcome to your new clan!"
en_107,"Purchase"
en_108,"Setting"
en_109,"Login Success"
en_110,"Input amount:"
en_111,"Shop"
en_112,"Total"
en_113,"\fK Buy"
en_114,"\fK Sell"
en_115,"Create"
en_116,"Enter name"
en_117,"Distribute your stats point: Auto/Manual"
en_118,"Confirm customized stats point"
en_119,"This class has not yet been released, please select a different class."
en_120,"Please distribute the remaining stats points."
en_121,"System Error, Please re-enter."
en_122,"This name is already taken. Please try another one."
en_123,"Invalid player name (No space or special punctuation in the name). Please try another one."
en_124,"Creation failed (Invalid stats distribution), please retry."
en_125,"Creation failed (Number of Character reach limit), please retry."
en_126,"Invalid player name (No space or special punctuation in the name). Please try another one."
en_127,"Invalid character info, please retry"
en_128,"Team"
en_129,"Add Friend"
en_130,"Trade"
en_131,"PM"
en_132,"Chat"
en_133,"Active attack"
en_134,"Block"
en_135,"Invalid type"
en_136,"Create Team"
en_137,"Leave"
en_138,"Character (0-%d) exceed limit."
en_139,"Trade Canceled"
en_140,"Trade Success"
en_141,"Trade"
en_142,"Enter amount:"
en_143,"\f7 Unlock"
en_144,"\f7 Lock"
en_145,"\fK Locked"
en_146,"\fK Confirm"
en_147,"My Items\f=(BEWARE OF FRAUD!)"
en_148,"Market"
en_149,"Item Sold"
en_150,"On sale"
en_151,"Buy"
en_152,"Sell"
en_153,"Collect"
en_154,"Item"
en_155,"Name"
en_156,"Remaining Time"
en_157,"Price"
en_158,"Status"
en_159,"\fKBuy"
en_160,"\fKCancel"
en_161,"\fKCollect"
en_162,"Search by name"
en_163,"Character limit exceeded, please input less text."
en_164,"Amount of item:"
en_165,"\fKAll"
en_166,"Price:"
en_167,"Total:"
en_168,"Offer closed time:"
en_169,"12 hr"
en_170,"24 hr"
en_171,"48 hr"
en_172,"Processing fee:"
en_173,"\fK Sell"
en_174,"\fK Canceled"
en_175,"Enter amount"
en_176,"Enter price"
en_177,"\f3 Cursed\n"
en_178,"\f2 Blessed\n"
en_179,"\f>Class:"
en_180,"\f>All Classes"
en_181,"\f>[Royal]"
en_182,"\f>[Knight]"
en_183,"\f>[Elf]"
en_184,"\f>[Mage]"
en_185,"%s\f>Damage (S/L): %d/%d\n"
en_186,"%s%sAC: %d\n"
en_187,"%s\f>Material: %s\nWeight: %u\n"
en_188,"\f3Not Tradable\n"
en_189,"\f2Can't Be Damaged\n"
en_190,"\f>Two-handed weapon\n"
en_191,"%s\f3Non-enchantable\n"
en_192,"%s\f2Safe Enchant: %d\n"
en_193,"%s\f>%sEnchant: %+d\n"
en_194,"%s\f>%sBreak: %d\n"
en_195,"%s\f>%sAccurracy: %+d\n"
en_196,"%s\f>%sDamage : %+d\n"
en_197,"%s\f>%sRanged Hit: %+d\n"
en_198,"%s\f>%sLong Range Damage: %+d\n"
en_199,"%s\f>%sStr: %+d\n"
en_200,"%s\f>%sDex: %+d\n"
en_201,"%s\f>%sCon: %+d\n"
en_202,"%s\f>%sWis: %+d\n"
en_203,"%s\f>%sInt: %+d\n"
en_204,"%s\f>%sCha: %+d\n"
en_205,"%s\f>%sLuk: %+d\n"
en_206,"%s\f>%sHP: %+d\n"
en_207,"%s\f>%sMP: %+d\n"
en_208,"%s\f>%sMR: %+d\n"
en_209,"%s\f>%sFreeze Res: %+d%%\n"
en_210,"%s\f>%sPara Res: %+d%%\n"
en_211,"%s\f>%sSleep Res: %+d%%\n"
en_212,"%s\f>%sBlind Res: %+d%%\n"
en_213,"%s\f>%sStun Res: %+d%%\n"
en_214,"%s\f>%sBind Res: %+d%%\n"
en_215,"\f2Absorb HP\n"
en_216,"\f2Absorb MP\n"
en_217,"%s\f>%sHP Regen: %+d\n"
en_218,"%s\f>%sMP Regen: %+d\n"
en_219,"%s\f>%sSP: %+d\n"
en_220,"\f2Haste Effect\n"
en_221,"%s\f>Nutrition: %d\n"
en_222,"%s\f>Lighting Area: %d\n"
en_223,"%s\f>%sFire Resistance : %+d%%\n"
en_224,"%s\f>%sWater Resistance : %+d%%\n"
en_225,"%s\f>%sWind Resistance: %+d%%\n"
en_226,"%s\f>%sEarth Resistance: %+d%%\n"
en_227,"%sItem Undentified\n\nNotice: You can buy Scroll of Identify to identify from [Item Shop]."
en_228,"\fKUse"
en_229,"\fKDiscard"
en_230,"\fKSell"
en_231,"\fKHP"
en_232,"\fKMP"
en_233,"\fKExp"
en_234,"\fKLv"
en_235,"Clan:"
en_236,"Title:"
en_237,"\fKPhys Dmg"
en_238,"\fKSpell Dmg"
en_239,"\fKArmor Class"
en_240,"\fKMagic Resist"
en_241,"\fKMov/Atk Spd"
en_242,"\fKRanged Ev."
en_243,"\fKFire Res"
en_244,"\fKWater Res"
en_245,"\fKWind Res"
en_246,"\fKEarth Res"
en_247,"\fK--"
en_248,"\fKSTR"
en_249,"\fKCON"
en_250,"\fKDEX"
en_251,"\fKINT"
en_252,"\fKWIS"
en_253,"\fKCHA"
