es_0,"Cliente:%s Recurso:%u"
es_1,"Descargar la versión de Teon más reciente"
es_2,"Conectándose al servidor del juego… (listo)"
es_3,"Actualizando revisión (%s, %u->%u) %u%%, espera..."
es_4,"Actualizando revisión (%s, %u->%u), espera…"
es_5,"Conectando al servidor..."
es_6,"Conectando al servidor...(conectado)"
es_7,"Conectando al servidor… (error)"
es_8,"Conectando al servidor… (fallo de protocolo)"
es_9,"Fallo de conexión, vuelve a intentarlo"
es_10,"Conectando al servidor...(protocolo de enlace)"
es_11,"Extrayendo recursos del juego..."
es_12,"Conectando al servidor de revisión..."
es_13,"Conectando al servidor de revisión… (recibiendo actualizaciones)"
es_14,"Conectando al servidor de revisión… (error)"
es_15,"Fallo de actualización, vuelve a intentarlo"
es_16,"Recibiendo actualizaciones… (%u/%u) %s"
es_17,"Actualizando revisión (actualización completa, %u->%u), espera..."
es_18,"Actualizando revisión (actualización parcial, %u->%u), espera..."
es_19,"Fallo de actualización, es necesario reiniciar. (Código de actualización desconocido:%s)"
es_20,"Fallo de actualización, es necesario reiniciar. (Código de actualización no válido: %s)"
es_21,"Extrayendo revisión (%s, %u->%u), espera...(%d%%)"
es_22,"Fallo de actualización, es necesario reiniciar... (fallo de extracción)"
es_23,"Fallo de actualización de revisión, error durante la actualización. Se reiniciará la descarga/subida"
es_24,"Fallo de actualización de revisión, vuelve a intentar descargar la revisión"
es_25,"Libera espacio (al menos %fG), toca la pantalla y reinicia la actualización"
es_26,"No hay espacio suficiente, se canceló la actualización"
es_27,"　Confirmar　|　Cancelar "
es_28,　OK　
es_29,"No se puede iniciar sesión en Google Play, comprueba el estado de los componentes en cuestión."
es_30,"\fKCliente:%s Recurso:%u"
es_31,"La cuenta ya existe"
es_32,"Contraseña incorrecta"
es_33,"Cuenta bloqueada, ponte en contacto con: cs@lakoo.com \nEl título del mensaje debe ser Teon-ACC y debes incluir información de la cuenta."
es_34,"Ya se ha iniciado sesión con esta cuenta"
es_35,"Cuenta o contraseña no válidas"
es_36,"Código del error:%d"
es_37,"Fallo de inicio de sesión, %s"
es_38,"La cuenta y la contraseña no puede estar en blanco. Vuelve a introducirlas"
es_39,"Tu contraseña nueva y la de confirmación son diferentes. Vuelve a introducir las contraseñas."
es_40,"Imposible recuperar datos de cuenta de Google Play. Vuelve a intentarlo"
es_41,"\fKCnt"
es_42,"\fKCsña"
es_43,"\fKInicio"
es_44,"\fKReg"
es_45,"\fKCancelar"
es_46,"\fKCsña"
es_47,"\fKGoogle"
es_48,Aviso
es_49,Real
es_50,Caballero
es_51,Elfo
es_52,Mago
es_53,"Elfo oscuro"
es_54,"Caballero dragón"
es_55,Ilusionista
es_56,"Clase desconocida"
es_57,Per
es_58,Bolsa
es_59,Habilidad
es_60,Misión
es_61,Loc
es_62,Soc
es_63,General
es_64,Clan
es_65,Salir
es_66,Información
es_67,Listo
es_68,Cancelar
es_69,"Ajustes de marcador"
es_70,"Añadir marcador"
es_71,MARCADOR
es_72,"Confirmar la eliminación del marcador"
es_73,"Confirmar la eliminación del marcador '%s'"
es_74,"Enviar mensaje"
es_75,Chatear
es_76,"¿Quieres salir?"
es_77,"Reiniciar | Servidor | Salir "
es_78,Resucitar
es_79,"Has muerto"
es_80,"Resucitar al pueblo | Salir del juego "
es_81,"Desconectado, motivo: %u"
es_82,Desconectado
es_83,"Seleccionar artículo no identificado"
es_84,Peso
es_85,"\fKPer"
es_86,"\fKBlq"
es_87,"\fKOrd"
es_88,Legítimo
es_89,Caótico
es_90,Neutral
es_91,MP
es_92,Correo
es_93,Bloquear
es_94,Eliminar
es_95,"Nombre del jugador"
es_96,"Nombre del clan"
es_97,Título
es_98,Clase
es_99,Nivel
es_100,"Añadir amigo"
es_101,Aviso:
es_102,"Nombre del clan:"
es_103,Líder:
es_104,Castillo:
es_105,Miembro:
es_106,"¡Bienvenido al nuevo clan!"
es_107,Comprar
es_108,Ajustes
es_109,"Inicio de sesión correcto"
es_110,"Introducir cantidad:"
es_111,Comprar
es_112,Total
es_113,"\fK Comprar"
es_114,"\fK Vender"
es_115,"Crear personaje"
es_116,"Introducir nombre del personaje"
es_117,"Distribuir puntos de habilidad: Auto/Manual"
es_118,"Confirmar puntos de habilidad personalizados"
es_119,"Esta clase no ha sido enviada, vuelve a realizar la selección."
es_120,"Puntos de habilidad restantes, procesar tras la distribución"
es_121,"Error de sistema, vuelve a introducir."
es_122,"Este nombre ya existe, introduce otro nombre."
es_123,"Nombre no válido, vuelve a intentarlo"
es_124,"Error en la creación (distribución no válida de habilidades), vuelve a intentarlo"
es_125,"Error en la creación (se alcanzó el límite de personajes), vuelve a intentarlo"
es_126,"Nombre no válido, vuelve a intentarlo"
es_127,"Información de personaje no válida, vuelve a intentarlo"
es_128,Equipo
es_129,"Añadir amigo"
es_130,Comerciar
es_131,MP
es_132,Chat
es_133,"Ataque activo"
es_134,Siguiendo
es_135,"Tipo no válido"
es_136,"Crear equipo"
es_137,Salir
es_138,"Límite de personajes(0-%d)superado."
es_139,"Transacción cancelada"
es_140,"Transacción completada"
es_141,Comerciar
es_142,"Introducir cantidad:"
es_143,"\f7 Desbloquear"
es_144,"\f7 Bloquear"
es_145,"\fK Bloquear"
es_146,"\fK Confirmar"
es_147,"Mis objetos \f=(Cuidado con estafas/engaños/fraudes)"
es_148,Mercado
es_149,"Objeto vendido"
es_150,"En venta"
es_151,Comprar
es_152,Vender
es_153,Recoger
es_154,Objeto
es_155,Nombre
es_156,"Tiempo restante"
es_157,Precio
es_158,Estado
es_159,"\fKComprar"
es_160,"\fKCancelado"
es_161,"\fKRecoger"
es_162,"Buscar por nombre"
es_163,"Superado el límite de longitud de palabras"
es_164,Cantidad:
es_165,"\fkTodo"
es_166,Precio:
es_167,"Precio total:"
es_168,"Hora de cierre de oferta:"
es_169,"12 h"
es_170,"24 h"
es_171,"48 h"
es_172,"Cuota de procesamiento:"
es_173,"\fK Vender"
es_174,"\fK Cancelado"
es_175,"Introducir cantidad"
es_176,"Introducir precio"
es_177,"\f3 Maldito "
es_178,"\f2 Bendecido\n"
es_179,"\f>Clase:"
es_180,"\f>Todas las clases"
es_181,"\f>[Real]"
es_182,"\f>[Caballero]"
es_183,"\f>[Elfo]"
es_184,"\f>[Mago]"
es_185,"%s\f>Daño (P/G): %d/%d "
es_186,"%s%sCA: %d\n"
es_187,"%s\f>Material: %s\nPeso: %u\n"
es_188,"\f3No comerciable\n"
es_189,"\f2No se puede dañar "
es_190,"\f>Arma a dos manos\n"
es_191,"%s\f3No se puede hechizar\n"
es_192,"%s\f2Hechizo seguro: %d\n"
es_193,"%s\f>%sHechizo: %+d\n"
es_194,"%s\f>%sRotura: %d\n"
es_195,"%s\f>%sBonificación por impacto: %+d\n"
es_196,"%s\f>%sDaño: %+d "
es_197,"%s\f>%sGolpe remoto: %+d\n"
es_198,"%s\f>%sDaño remoto: %+d "
es_199,"%s\f>%sFza: %+d\n"
es_200,"%s\f>%sDes: %+d\n"
es_201,"%s\f>%sCon: %+d\n"
