fr_0,"Client : %s Ressource : %u"
fr_1,"Télécharger la dernière version de Teon"
fr_2,"Connexion au serveur du jeu… (prêt)"
fr_3,"Mise à jour du patch (%s, %u->%u) %u%%, veuillez patienter…"
fr_4,"Mise à jour du patch (%s, %u->%u), veuillez patienter…"
fr_5,"Connexion au serveur…"
fr_6,"Connexion au serveur… (connecté)"
fr_7,"Connexion au serveur… (échec)"
fr_8,"Connexion au serveur… (échec du protocole)"
fr_9,"Échec de la connexion, veuillez réessayer"
fr_10,"Connexion au serveur… (handshake en cours)"
fr_11,"Extraction des ressources du jeu…"
fr_12,"Connexion au serveur de patch…"
fr_13,"Connexion au serveur de patch… (réception des mises à jour)"
fr_14,"Connexion au serveur de patch… (échec)"
fr_15,"Échec de la mise à jour, veuillez réessayer"
fr_16,"Réception des mises à jour...(%u/%u) %s"
fr_17,"Mise à jour du patch (mise à jour complète, %u->%u), veuillez patienter…"
fr_18,"Mise à jour du patch (mise à jour partielle, %u->%u), veuillez patienter…"
fr_19,"Échec de la mise à jour, veuillez redémarrer (code de mise à jour inconnu : %s)"
fr_20,"Échec de la mise à jour, veuillez redémarrer. (code de mise à jour invalide : %s)"
fr_21,"Extraction du patch (%s, %u->%u), veuillez patienter…(%d%%)"
fr_22,"Échec de la mise à jour, veuillez redémarrer… (échec de l'extraction)"
fr_23,"Échec de la mise à jour du patch, erreur pendant la mise à jour. Le téléchargement/rechargement se relancera"
fr_24,"Échec de la mise à jour du patch, veuillez réessayer de télécharger le patch"
fr_25,"Libérez de l'espace (%fG au moins), touchez l'écran et relancez la mise à jour"
fr_26,"Pas assez d'espace libre disponible, mise à jour annulée"
fr_27,　Confirmer　|　Annuler　
fr_28,　OK　
fr_29,"Impossible de se connecter à Google Play, veuillez vérifier l'état des composants liés."
fr_30,"\fKClient : %s Ressource : %u"
fr_31,"Le compte existe déjà"
fr_32,"Le mot de passe est incorrect"
fr_33,"Compte bloqué, veuillez contacter : cs@lakoo.com.\nVeuillez mettre Teon-ACC dans l'objet de votre e-mail et fournir les informations du compte."
fr_34,"Ce compte est déjà authentifié"
fr_35,"Compte ou mot de passe invalide"
fr_36,"Code d'erreur : %d"
fr_37,"Échec de l'authentification, %s"
fr_38,"Le compte et le mot de passe ne peuvent pas être vides. Veuillez entrer de nouveau."
fr_39,"Votre nouveau mot de passe et sa confirmation sont différents. Veuillez entrer vos mots de passe de nouveau."
fr_40,"Impossible d'obtenir les données du compte depuis Google Play. Veuillez réessayer"
fr_41,"\fKCompte"
fr_42,"\fKMdp"
fr_43,"\fKAuthentification"
fr_44,"\fKInscription"
fr_45,"\fKAnnuler"
fr_46,"\fKMdp,"
fr_47,"\fKGoogle"
fr_48,Avis
fr_49,Royal
fr_50,Chevalier
fr_51,Elfe
fr_52,Mage
fr_53,"Elfe noir"
fr_54,"Chevalier Dragon"
fr_55,Illusionniste
fr_56,"Classe inconnue"
fr_57,Perso
fr_58,Sac
fr_59,Compétence
fr_60,Quête
fr_61,Emp
fr_62,Soc
fr_63,Total
fr_64,Aide
fr_65,Quitter
fr_66,Infos
fr_67,Terminé
fr_68,Annuler
fr_69,"Paramètres des favoris"
fr_70,"Ajouter un favori"
fr_71,FAVORI
fr_72,"Confirmer la suppression du favori"
fr_73,"Confirmer la suppression du favori « %s »"
fr_74,"Envoyer le message"
fr_75,Chat
fr_76,"Voulez-vous quitter ?"
fr_77,"Redémarrer | Quitter "
fr_78,Ranimer
fr_79,"Vous êtes mort"
fr_80,"Respawn dans la ville | Quitter le jeu "
fr_81,"Déconnecté, raison : %u"
fr_82,Déconnecté
fr_83,"Sélectionner l'objet non identifié"
fr_84,Poids
fr_85,"\fKPerso"
fr_86,"\fKBloquer"
fr_87,"\fKTrier"
fr_88,Légitime
fr_89,Chaotique
fr_90,Neutre
fr_91,MP
fr_92,Mail
fr_93,Bloquer
fr_94,Supprimer
fr_95,"Nom du joueur"
fr_96,"Nom du clan"
fr_97,Titre
fr_98,Classe
fr_99,Niveau
fr_100,"Ajouter un ami"
fr_101,Avis :
fr_102,"Nom du clan :"
fr_103,Leader :
fr_104,Château :
fr_105,Membre :
fr_106,"Bienvenue dans le nouveau clan !"
fr_107,Acheter
fr_108,Paramètre
fr_109,"Authentification réussie"
fr_110,"Entrer la quantité :"
fr_111,Boutique
fr_112,Total
fr_113,"\fK Acheter"
fr_114,"\fK Vendre"
fr_115,"Créer le personnage"
fr_116,"Entrer le nom du personnage"
fr_117,"Distribution de vos points de stats : auto/manuelle"
fr_118,"Confirmer les points de stats personnalisés"
fr_119,"Cette classe n'est pas encore disponible, veuillez resélectionner."
fr_120,"Les points de stats restants, traitement après la distribution"
fr_121,"Erreur système, veuillez entrer de nouveau."
fr_122,"Ce nom existe déjà, veuillez entrer de nouveau."
fr_123,"Nom invalide, veuillez réessayer"
fr_124,"Échec de la création (distribution des stats invalide), veuillez réessayer"
fr_125,"Échec de la création (limite du nombre de caractères atteinte), veuillez réessayer"
fr_126,"Nom invalide, veuillez réessayer"
fr_127,"Infos du personnage invalides, veuillez réessayer"
fr_128,Équipe
fr_129,"Ajouter un ami"
fr_130,Échange
fr_131,MP
fr_132,Chat
fr_133,"Attaque active"
fr_134,Abonnements
fr_135,"Type invalide"
fr_136,"Créer une équipe"
fr_137,Quitter
fr_138,"Les caractères (0-%d) dépassent la limite."
fr_139,"Échange annulé"
fr_140,"Échange réussi"
fr_141,Échange
fr_142,"Entrer la quantité :"
fr_143,"\f7 Débloquer"
fr_144,"\f7 Bloquer"
fr_145,"\fK Bloquer"
fr_146,"\fK Confirmer"
fr_147,"Mes objets \f=(Attention aux scams/ruses/fraudes)"
fr_148,Marché
fr_149,"Objet vendu"
fr_150,"En vente"
fr_151,Acheter
fr_152,Vendre
fr_153,Collecter
fr_154,Objet
fr_155,Nom
fr_156,"Temps restant"
fr_157,Prix
fr_158,Statut
fr_159,"\fKAcheter"
fr_160,"\fKAnnulé(e)"
fr_161,"\fKCollecter"
fr_162,"Rechercher par nom"
fr_163,"La longueur des mots dépasse la limite"
fr_164,"Quantité de l'objet :"
fr_165,"\fKTout"
fr_166,Prix :
fr_167,"Prix total :"
fr_168,"Temps de fermeture de l'offre :"
fr_169,12 h
fr_170,24 h
fr_171,48 h
fr_172,"Frais de traitement :"
fr_173,"\fK Vendre"
fr_174,"\fK Annulé(e)"
fr_175,"Entrer le montant"
fr_176,"Entrer le prix"
fr_177,"\f3 Maudit\n"
fr_178,"\f2 Béni\n"
fr_179,"\f>Classe :"
fr_180,"\f>Toutes les classes"
fr_181,"\f>[Royal]"
fr_182,"\f>[Chevalier]"
fr_183,"\f>[Elfe]"
fr_184,"\f>[Mage]"
fr_185,"%s\f>Dégâts (S/L) : %d/%d \n"
fr_186,"%s\f>%sCA : %d \n"
fr_187,"%s\f>Matériel : %s\nPoids : %u\n"
fr_188,"\f3Non échangeable \n"
fr_189,"\f2Non dommageable \n"
fr_190,"\f>Arme à deux mains\n"
fr_191,"%s\f3Non enchantable \n"
fr_192,"%s\f2Enchantement sécurisé : %d "
fr_193,"%s\f>%s Enchantement : %+d \n"
fr_194,"%s\f>%sDestruction : %d \n"
fr_195,"%s\f>%sBonus de coup : %+d \n"
fr_196,"%s\f>%sDégâts : %+d \n"
fr_197,"%s\f>%sCoup à distance : %+d \n"
fr_198,"%s\f>%sDégâts à distance : %+d \n"
fr_199,"%s\f>%sFor : %+d \n"
fr_200,"%s\f>%sDex : %+d \n"
fr_201,"%s\f>%sCon : %+d \n"
fr_202,"%s\f>%sSag : %+d \n"
fr_203,"%s\f>%sInt : %+d \n"
fr_204,"%s\f>%sCha : %+d \n"
fr_205,"%s\f>%sCha : %+d \n"
fr_206,"%s\f>%sPV : %+d \n"
fr_207,"%s\f>%sPM : %+d \n"
fr_208,"%s\f>%sRM : %+d \n"
fr_209,"%s\f>%sRésistance à « Geler » : %+d%% \n"
fr_210,"%s\f>%sRésistance à « Paralysie » : %+d%% \n"
fr_211,"%s\f>%sRésistance à « Hypnose » : %+d%% \n"
fr_212,"%s\f>%sRésistance à « Cécité » : %+d%% \n"
fr_213,"%s\f>%sRésistance à « Étourdir » : %+d%% \n"
fr_214,"%s\f>%sRésistance à « Restreindre » : %+d%% \n"
fr_215,"\f2Absorber des PV\n"
fr_216,"\f2Tirer des PM \n"
fr_217,"%s\f>%sRécupération PV : %+d \n"
fr_218,"%s\f>%s Récupération PM : %+d \n"
fr_219,"%s\f>%sPM : %+d \n"
fr_220,"\f2Effect de précipitation\n"
fr_221,"%s\f>Nutrition : %d \n"
fr_222,"%s\f>Zone d'éclair : %d \n"
fr_223,"%s\f>%sRésistance au feu : %+d%% \n"
fr_224,"%s\f>%sRésistance à l'eau : %+d%% \n"
fr_225,"%s\f>%sRésistance au vent : %+d%% \n"
fr_226,"%s\f>%sRésistance à la terre : %+d%% \n"
fr_227,"%sNon Identifié"
fr_228,"\fKUtiliser"
fr_229,"\fKJeter"
fr_230,"\fKAnnuler"
fr_231,"\fKPV"
fr_232,"\fKPM"
fr_233,"\fKExp"
fr_234,"\fKNiv."
fr_235,Clan :
fr_236,Titre :
fr_237,"\fK Mêlée"
fr_238,"\fKPuissance de sort"
fr_239,"\fKClasse d'armure"
fr_240,"\fKRésistance magique"
fr_241,"\fKVitesse"
fr_242,"\fKTaux d'évasion"
fr_243,"\fKDéf feu"
fr_244,"\fKDéf eau"
fr_245,"\fKDéf vent"
fr_246,"\fKDéf terre"
fr_247,"\fKFaim"
fr_248,"\fKFOR"
fr_249,"\fKCON"
fr_250,"\fKDEX"
fr_251,"\fKINT"
fr_252,"\fKSAG"
fr_253,"\fKCHA"
fr_254,"\fKRestant"
fr_255,"\fKTitre"
fr_256,"\fKPoints"
fr_257,"\fKStats"
fr_258,"\fKÉquiper"
fr_259,"\fKSac"
fr_260,Stats
fr_261,"\fKAjouter"
fr_262,"\fKEnvoyer"
fr_263,"\f8Informations sur le nom d'utilisateur"
fr_264,"\f9Général"
fr_265,"\f9À proximité"
fr_266,"\f9Monde"
fr_267,"\f9Clan"
fr_268,"\f9Équipe"
fr_269,"\f9MP"
fr_270,"\f9Système"
fr_271,"\fQGénéral"
fr_272,"\fÀ proximité"
fr_273,"\fQMonde"
fr_274,"\fQClan"
fr_275,"\fQÉquipe"
fr_276,"\fQMP"
fr_277,"\fQSystème"
fr_278,NORM
fr_279,CRIER
fr_280,MONDE
fr_281,CLAN
fr_282,ÉQUIPE
fr_283,MP
fr_284,ÉQUIPEMENT
fr_285,"\fKStats"
fr_286,"\fKÉquiper"
fr_287,"\fKSac"
fr_288,SAC
fr_289,"\f2Ne peut pas opérer"
