it_0,"Client:%s Risorsa:%u"
it_1,"Scarica l'ultima versione di Teon"
it_2,"Collegamento al server di gioco... (pronto)"
it_3,"Aggiornamento patch (%s, %u->%u) %u%%, attendi..."
it_4,"Aggiornamento patch (%s, %u->%u), attendi..."
it_5,"Collegamento al server..."
it_6,"Collegamento al server... (connesso)"
it_7,"Collegamento al server... (non riuscito)"
it_8,"Collegamento al server... (malfunzionamento del protocollo)"
it_9,"Collegamento non riuscito, riprova"
it_10,"Collegamento al server... (handshake)"
it_11,"Estrazione risorse di gioco..."
it_12,"Collegamento al patching server..."
it_13,"Collegamento al patching server... (ricezione aggiornamenti)"
it_14,"Collegamento al patching server... (non riuscito)"
it_15,"Aggiornamento non riuscito, riprova"
it_16,"Ricezione aggiornamenti... (%u/%u) %s"
it_17,"Aggiornamento patch (aggiornamento completo, %u->%u), attendi..."
it_18,"Aggiornamento patch (aggiornamento parziale, %u->%u), attendi..."
it_19,"Aggiornamento non riuscito, riavvia. (codice di aggiornamento sconosciuto:%s)"
it_20,"Aggiornamento non riuscito, riavvia. (codice di aggiornamento non valido:%s)"
it_21,"Estraendo patch (%s, %u->%u), attendi...(%d%%)"
it_22,"Aggiornamento non riuscito, riavvia... (estrazione non riuscita)"
it_23,"Aggiornamento patch non riuscito, errore durante l'aggiornamento. Il download/reload sarà riavviato"
it_24,"Aggiornamento patch non riuscito, riprova a scaricare la patch"
it_25,"Libera spazio di archiviazione(almeno %fG), tocca lo schermo e riavvia l'aggiornamento"
it_26,"Spazio di archiviazione insufficiente, aggiornamento annullato"
it_27,Conferma　|　Annulla　
it_28,　OK　
it_29,"Impossibile accedere a Google Play, ti preghiamo di controllare lo stato dei componenti collegati."
it_30,"\fKClient:%s Risorsa:%u"
it_31,"Account già esistente"
it_32,"La password è errata"
it_33,"Account bloccato, contatta:cs@lakoo.com\nScrivi Teon-ACC come oggetto della mail e fornisci i dati dell'account."
it_34,"Questo account è già connesso"
it_35,"Account o password non validi"
it_36,"Codice errore:%d"
it_37,"Accesso non riuscito，%s"
it_38,"Account e password non possono essere vuoti. Inseriscili nuovamente."
it_39,"La nuova password e la conferma sono diverse. Inserisci nuovamente la password."
it_40,"Impossibile ottenere i dati dell'account da Google Play. Riprova"
it_41,"\fKAcct"
it_42,"\fKPwd"
it_43,"\fKLogin"
it_44,"\fKReg"
it_45,"\fKAnnulla"
it_46,"\fKPwd,"
it_47,"\fKGoogle"
it_48,Notifica
it_49,Reale
it_50,Cavaliere
it_51,Elfo
it_52,Mago
it_53,"Elfo oscuro"
it_54,"Cavaliere dragone"
it_55,Illusionista
it_56,"Classe sconosciuta"
it_57,Personaggio
it_58,Borsa
it_59,Abilità
it_60,Missione
it_61,Loc
it_62,Soc
it_63,Totale
it_64,Aiuto
it_65,Esci
it_66,Informazioni
it_67,Fatto
it_68,Annulla
it_69,"Impostazione segnalibro"
it_70,"Aggiungi segnalibro"
it_71,SEGNALIBRO
it_72,"Conferma cancellazione del segnalibro"
it_73,"Conferma cancellazione del segnalibro \"%s\""
it_74,"Invia messaggio"
it_75,Chat
it_76,"Vuoi uscire?"
it_77,"Riavvia | Esci "
it_78,Resuscita
it_79,"Sei morto"
it_80,"Rigenerazione città | Esci dal gioco "
it_81,"Disconnesso, motivo:%u"
it_82,Disconnesso
it_83,"Seleziona oggetto non identificato"
it_84,Peso
it_85,"\fKPers"
it_86,"\fKBlocca"
it_87,"\fKOrdn"
it_88,Legittimo
it_89,Caotico
it_90,Neutrale
it_91,PM
it_92,"Cotta di maglia"
it_93,Blocca
it_94,Cancella
it_95,"Nome giocatore"
it_96,"Nome clan"
