pt_0,"Cliente:%s Recurso:%u"
pt_1,"Baixe o novo Teon"
pt_2,"Conectando ao servidor do jogo... (pronto)"
pt_3,"Atualizando patch (%s, %u->%u) %u%%, aguarde..."
pt_4,"Atualizando patch (%s, %u->%u), aguarde..."
pt_5,"Conectando ao servidor..."
pt_6,"Conectando ao servidor... (conectado)"
pt_7,"Conectando ao servidor... (falha)"
pt_8,"Conectando ao servidor... (falha de protocolo)"
pt_9,"Falha na conexão, tente de novo"
pt_10,"Conectando ao servidor... (handshaking)"
pt_11,"Extraindo recursos do jogo..."
pt_12,"Conectando ao servidor de patch..."
pt_13,"Conectando ao servidor de patch... (recebendo atualizações)"
pt_14,"Conectando ao servidor de patch... (falha)"
pt_15,"Falha na atualização, tente de novo"
pt_16,"Recebendo atualizações... (%u/%u) %s"
pt_17,"Atualizando patch (atualização completa, %u->%u), aguarde..."
pt_18,"Atualizando patch (atualização parcial, %u->%u), aguarde..."
pt_19,"Falha na atualização, reinicie (código de atualização desconhecido:%s)"
pt_20,"Falha na atualização, reinicie (código de atualização inválido:%s)"
pt_21,"Extraindo patch (%s, %u->%u), aguarde...(%d%%)"
pt_22,"Falha na atualização, reinicie (falha na extração)"
pt_23,"Falha na atualização do patch, erro durante a atualização. O Download/Recarregamento será reiniciado"
pt_24,"Falha na atualização do patch, tente baixar o patch novamente"
pt_25,"Libere espaço de armazenamento (pelo menos %fG). Toque na tela e reinicie a atualização"
pt_26,"Sem espaço de armazenamento disponível o suficiente. Atualização cancelada"
pt_27,　Confirmar　|　Cancelar　
pt_28,　OK　
pt_29,"Não é possível conectar ao Google Play. Verifique o status dos componentes relacionados."
pt_30,"\fKCliente:%s Recurso:%u"
pt_31,"A conta já existe"
pt_32,"A senha está incorreta"
pt_33,"Conta bloqueada, por favor, contate cs@lakoo.com\nInsira Teon-ACC no assunto do e-mail e forneça as informações da conta."
pt_34,"Está conta já está conectada"
pt_35,"Conta ou senha inválidas"
pt_36,"Código de erro:%d"
pt_37,"Falha no login, %s"
pt_38,"A conta e a senha não podem ficar em branco. Insira novamente."
pt_39,"Sua nova senha e a confirmação de senha são diferentes. Insira as senhas novamente."
pt_40,"Não é possível obter os dados da conta do Google Play. Tente de novo"
pt_41,"\fKConta"
pt_42,"\fKSenha"
pt_43,"\fKLogin"
pt_44,"\fKRegistro"
pt_45,"\fKCancelar"
pt_46,"\fKSenha,"
pt_47,"\fKGoogle"
pt_48,Aviso
pt_49,Real
pt_50,Cavaleiro
pt_51,Elfo
pt_52,Mago
pt_53,"Elfo Negro"
pt_54,"Cavaleiro do Dragão"
pt_55,Ilusionista
pt_56,"Classe Desconhecida"
pt_57,Personagem
pt_58,Bolsa
pt_59,Habilidade
pt_60,Missão
pt_61,Loc
pt_62,Soc
pt_63,Geral
pt_64,Clã
pt_65,Sair
pt_66,Informações
pt_67,Concluído
pt_68,Cancelar
pt_69,"Configuração dos Favoritos"
pt_70,"Adicionar Favorito"
pt_71,FAVORITOS
pt_72,"Confirmar exclusão de favorito"
pt_73,"Confirmar exclusão de favorito '%s'"
pt_74,"Enviar Mensagem"
pt_75,Chat
pt_76,"Você deseja sair?"
pt_77,"Reiniciar | Servidor | Sair "
pt_78,Reviver
pt_79,"Você morreu"
pt_80,"Ressurgir na cidade | Sair do jogo "
pt_81,"Desconectado. Motivo:%u"
pt_82,Desconectado
pt_83,"Selecionar item não identificado"
pt_84,Peso
pt_85,"\fKPersonagem"
pt_86,"\fKBloquear"
pt_87,"\fKOrdenar"
pt_88,Legal
pt_89,Caótico
pt_90,Neutro
pt_91,MP
pt_92,Correio
pt_93,Bloquear
pt_94,Excluir
pt_95,"Nome do Jogador"
pt_96,"Nome do Clã"
pt_97,Título
pt_98,Classe
pt_99,Nível
pt_100,"Adicionar Amigo"
pt_101,Aviso:
pt_102,"Nome do Clã:"
pt_103,Líder:
pt_104,Castelo:
pt_105,Membro:
pt_106,"Bem-vindo ao novo Clã!"
pt_107,Comprar
pt_108,Configuração
pt_109,"Sucesso no Login"
pt_110,"Inserir quantidade:"
pt_111,Loja
pt_112,Total
pt_113,"\fK Comprar"
pt_114,"\fK Vender"
pt_115,"Criar Personagem"
pt_116,"Insira o nome do personagem"
pt_117,"Distribuir pontos das suas estatísticas:Automático/Manual"
pt_118,"Confirmar pontos de estatísticas personalizados"
