ru_0,"Клиент:%s Ресурс:%u"
ru_1,"Загрузите последнюю версию Teon"
ru_2,"Подключение к серверу игры... (готово)"
ru_3,"Обновление патча (%s, %u->%u) %u%%, ожидайте..."
ru_4,"Обновление патча (%s, %u->%u), ожидайте..."
ru_5,"Подключение к серверу..."
ru_6,"Подключение к серверу... (подключено)"
ru_7,"Подключение к серверу... (ошибка)"
ru_8,"Подключение к серверу... (ошибка протокола)"
ru_9,"Не удалось подключиться, повторите попытку"
ru_10,"Подключение к серверу... (установление связи)"
ru_11,"Извлечение ресурсов игры..."
ru_12,"Подключение к серверу патчей..."
ru_13,"Подключение к серверу патчей... (получение обновлений)"
ru_14,"Подключение к серверу патчей... (ошибка)"
ru_15,"Не удалось обновить, повторите попытку"
ru_16,"Получение обновлений... (%u/%u) %s"
ru_17,"Обновление патча (полное обновление, %u->%u), ожидайте..."
ru_18,"Обновление патча (частичное обновление, %u->%u), ожидайте..."
ru_19,"Обновить не удалось (неизвестный код обновления:%s)"
ru_20,"Обновить не удалось, перезапустите. (недействительный код обновления:%s)"
ru_21,"Извлечение патча (%s, %u->%u), ожидайте..(%d%%)"
ru_22,"Обновить не удалось, перезапустите программу (не удалось извлечь)."
ru_23,"Не удалось установить патч обновления, возникла ошибка. Будет произведена повторная загрузка."
ru_24,"Не удалось установить патч обновления, попробуйте загрузить патч"
ru_25,"Освободите место (как минимум %fG), коснитесь экрана и перезапустите обновление"
ru_26,"Недостаточно свободного места, обновление отменено"
ru_27,　Подтвердить　|　Отмена　
ru_28,　OK　
ru_29,"Не удалось войти в Google Play, проверьте статус соответствующих компонентов."
ru_30,"\fKКлиент:%s Ресурс:%u"
ru_31,"Аккаунт уже существует"
ru_32,"Неверный пароль"
ru_33,"Аккаунт заблокирован, обратитесь по адресу cs@lakoo.com\nУкажите в заголовке письма «Teon-ACC» и сообщите информацию об аккаунте."
ru_34,"Кто-то уже вошел в этот аккаунт"
ru_35,"Неверный аккаунт или пароль"
ru_36,"Код ошибки:%d"
ru_37,"Войти не удалось, %s"
ru_38,"Аккаунт и пароль не могут быть пустыми. Введите данные еще раз."
ru_39,"Новый пароль отличается от проверочного пароля. Введите пароли еще раз."
ru_40,"Не удается получить данные аккаунта от Google Play. Повторите попытку"
ru_41,"\fKАкк."
ru_42,"\fKПар."
ru_43,"\fKВход"
ru_44,"\fKРег."
ru_45,"\fKОтмена"
ru_46,"\fKПар,"
ru_47,"\fKGoogle"
ru_48,Уведомление
ru_49,Дворянин
ru_50,Рыцарь
ru_51,Эльф
ru_52,Маг
ru_53,"Темный эльф"
ru_54,Рыцарь-дракон
ru_55,Иллюзионист
ru_56,"Неизвестный класс"
ru_57,Герой
ru_58,Сумка
ru_59,Навык
ru_60,Задание
ru_61,Лок.
ru_62,Соц.
ru_63,Всего
ru_64,Кланы
ru_65,Выйти
ru_66,Информация
ru_67,Готово
ru_68,Отмена
ru_69,"Настройка закладки"
ru_70,"Добавить закладку"
ru_71,ЗАКЛАДКА
ru_72,"Подтвердить удаление закладки"
ru_73,"Подтвердите удаление закладки «%s»"
ru_74,"Отправить сообщение"
ru_75,Чат
ru_76,"Хотите выйти?"
ru_77,"Перезапустить | Сервер | Выйти "
ru_78,Оживить
ru_79,"Вы мертвы"
ru_80,"Ожить в городе | Выйти из игры "
ru_81,"Связь разорвана, причина:%u"
ru_82,Отключено
ru_83,"Выберите неидентиф. предмет"
ru_84,Вес
ru_85,"\fKГерой"
ru_86,"\fKЗакр"
ru_87,"\fKСорт"
ru_88,Законопослушный
ru_89,Хаотичный
ru_90,Нейтральный
ru_91,ЛС
ru_92,Почта
ru_93,Блокировать
ru_94,Удалить
ru_95,"Имя игрока"
ru_96,"Название клана"
ru_97,Обращение
ru_98,Класс
ru_99,Уровень
ru_100,"Добавить друга"
ru_101,Уведомление:
ru_102,"Название клана:"
ru_103,Глава:
ru_104,Замок:
ru_105,Член:
ru_106,"Добро пожаловать в новый клан!"
ru_107,Купить
ru_108,Настройка
ru_109,"Успешный вход"
ru_110,"Введите количество:"
ru_111,Магазин
ru_112,Итого
ru_113,"\fK Купить"
ru_114,"\fK Продать"
ru_115,"Создать персонажа"
ru_116,"Введите имя персонажа"
ru_117,"Распределите очки параметров:автоматически/вручную"
ru_118,"Подтвердите свои очки параметров"
ru_119,"Этот класс еще не вышел, выберите еще раз."
ru_120,"Остались очки параметров, распределите их"
ru_121,"Системная ошибка, введите еще раз."
ru_122,"Это имя уже существует, введите другое."
ru_123,"Неподходящее имя, повторите попытку"
ru_124,"Не удалось создать (неверное распределение параметров), повторите попытку"
ru_125,"Не удалось создать (превышен лимит количества символов), повторите попытку"
ru_126,"Неподходящее имя, повторите попытку"
ru_127,"Неверная информация о персонаже, повторите попытку"
ru_128,Команда
ru_129,"Добавить друга"
ru_130,Торговля
ru_131,ЛС
ru_132,Чат
ru_133,"Активная атака"
ru_134,Подписка
ru_135,"Недействительный тип"
ru_136,"Создать команду"
ru_137,Выйти
ru_138,"Превышен лимит символов (0-%d)."
ru_139,"Торговля отменена"
ru_140,"Успешная торговля"
ru_141,Торговля
ru_142,"Введите количество:"
ru_143,"\f7 Откр."
ru_144,"\f7 Закр."
ru_145,"\fK Резервировать."
ru_146,"\fK Подтвердить"
ru_147,"Мои предметы \f=(Берегитесь мошенников)"
ru_148,Рынок
ru_149,"Предмет продан"
ru_150,Продается
ru_151,Купить
ru_152,Продать
ru_153,Получить
ru_154,Предмет
ru_155,Имя
ru_156,"Оставшееся время"
ru_157,Цена
ru_158,Статус
ru_159,"\fKКупить"
ru_160,"\fKОтменено"
ru_161,"\fKПолучить"
ru_162,"Поиск по имени"
ru_163,"Превышен лимит длины слов"
ru_164,"Количество предметов:"
ru_165,"\fKВсе"
ru_166,Цена:
ru_167,Итого:
ru_168,"Срок действия предложения:"
ru_169,"12 ч."
ru_170,"24 ч."
ru_171,"48 ч."
ru_172,"Плата за обработку"
ru_173,"\fK Продать"
