de_0,"$0 "
de_1,Abgenutzt
de_2,Abgenutzt
de_3,An
de_4,Leer
de_5,NULL
de_6,NULL
de_7,NULL
de_8,NULL
de_9,NULL
de_10,NULL
de_11,NULL
de_12,NULL
de_13,NULL
de_14,NULL
de_15,NULL
de_16,NULL
de_17,NULL
de_18,NULL
de_19,NULL
de_20,NULL
de_21,NULL
de_22,NULL
de_23,NULL
de_24,NULL
de_25,NULL
de_26,NULL
de_27,NULL
de_28,NULL
de_29,NULL
de_30,NULL
de_31,NULL
de_32,NULL
de_33,NULL
de_34,NULL
de_35,NULL
de_36,NULL
de_37,NULL
de_38,NULL
de_39,NULL
de_40,NULL
de_41,NULL
de_42,NULL
de_43,NULL
de_44,NULL
de_45,NULL
de_46,NULL
de_47,NULL
de_48,NULL
de_49,NULL
de_50,NULL
de_51,NULL
de_52,NULL
de_53,NULL
de_54,NULL
de_55,NULL
de_56,NULL
de_57,NULL
de_58,NULL
de_59,NULL
de_60,NULL
de_61,NULL
de_62,NULL
de_63,NULL
de_64,NULL
de_65,NULL
de_66,NULL
de_67,NULL
de_68,NULL
de_69,NULL
de_70,NULL
de_71,NULL
de_72,NULL
de_73,NULL
de_74,NULL
de_75,NULL
de_76,NULL
de_77,NULL
de_78,NULL
de_79,NULL
de_80,NULL
de_81,NULL
de_82,NULL
de_83,NULL
de_84,NULL
de_85,NULL
de_86,NULL
de_87,NULL
de_88,NULL
de_89,NULL
de_90,NULL
de_91,NULL
de_92,NULL
de_93,NULL
de_94,NULL
de_95,NULL
de_96,NULL
de_97,NULL
de_98,NULL
de_99,NULL
de_100,NULL
de_101,Kobold
de_102,Ork
de_103,Goblin-Dieb
de_104,Werwolf
de_105,Imp
de_106,Zwerg
de_107,Schleim
de_108,Zombie
de_109,"Schwebendes Auge"
de_110,Gnoll
de_111,Zwergenkrieger
de_112,Skelett
de_113,Soldatenameise
de_114,Skelett-Bogenschütze
de_115,Steingolem
de_116,Skelett-Axtschwinger
de_117,Skelett-Speer
de_118,Kankra
de_119,Hobgoblin
de_120,Echsenmensch
de_121,Eulenbär
de_122,Troglodyt
de_123,Ghul
de_124,Nachtschatten
de_125,Lycanthrope
de_126,Ungoliant
de_127,Doppelgänger
de_128,Riesenameise
de_129,Ghast
de_130,"Alter Zauberer"
de_131,Schrat
de_132,Kerberos
de_133,Skelett
de_134,Harpyie
de_135,Oger
de_136,Troll
de_137,Greif
de_138,Beholder
de_139,Basilisk
de_140,Ettin
de_141,Basilisk
de_142,Sukkubus
de_143,Zyklope
de_144,Sukkubus-Königin
de_145,Nekromant
de_146,Skuld
de_147,Sauroner
de_148,Endor
de_149,Svipdag
de_150,Drake
de_151,"Dunkler Älterer"
de_152,Baphomet
de_153,Beleth
de_154,Bran
de_155,Todesritter
de_156,Ameisenkönigin
de_157,Scatha
de_158,Joanna
de_159,Alfred
de_160,Inka
de_161,Bertrand
de_162,Olga
de_163,Boyce
de_164,Brooks
de_165,Cyril
de_166,Zeke
de_167,Cordelia
de_168,Chad
de_169,Cassandra
de_170,Carina
de_171,Hund
de_172,Pferd
de_173,Taylor[Zaubertrank-Laden]
de_174,Justina
de_175,Leah
de_176,Mönch
de_177,NULL
de_178,Kuh
de_179,Ork-Kämpfer
de_180,NULL
de_181,NULL
de_182,NULL
de_183,NULL
de_184,NULL
de_185,NULL
de_186,"Thri Kreen"
de_187,Ork-Bogenschütze
de_188,Ork-Schamane
de_189,Ork-Grunt
de_190,Ork-Wächter
de_191,Ork-Armbrust
de_192,Ork-Zombie
de_193,Ork-Magier
de_194,Drow
de_195,Lolth
de_196,Elite-Skelett
de_197,Cora
de_198,Elite-Skelett-Bogenschütze
de_199,Faustus
de_200,Elite-Skelett-Axtschwinger
de_201,Elite-Skelett-Magier
de_202,Doris
de_203,Damon
de_204,"Gullveig [Zauberbuch]"
de_205,Galen
de_206,Vogelscheuche
de_207,Elite-Skelett-Speer
de_208,Kirsten
de_209,Kell
de_210,Skelett-Magier
de_211,Henne
de_212,Laura
de_213,Naomi
de_214,Nairobi
de_215,Marla
de_216,Ente
de_217,Marcia
de_218,Gans
de_219,Nedra
de_220,Schwein
de_221,Ptolemy
de_222,Hase
de_223,Pascal[Waffenladen]
de_224,Rhoda
de_225,Somalier[Artikel-Shop]
de_226,Ramla
de_227,Bock
de_228,Rabia[Rüstungsladen]
de_229,Schaf
de_230,Somalier[Artikel-Shop]
de_231,Sadie
de_232,Thurston
de_233,Themis
de_234,Uta
de_235,Upton
de_236,"Bootsmann am Hafen der Insel der Verheißung"
de_237,Merlin
de_238,Natalia
de_239,Soldat
de_240,NULL
de_241,NULL
de_242,Elbereth
de_243,NULL
de_244,NULL
de_245,NULL
de_246,"Geschwächte Harpie"
de_247,NULL
de_248,"Geschwächter Werwolf"
de_249,Andrew
de_250,Grazob
de_251,NULL
de_252,Karguk[Lager]
de_253,Piggu[Waffenladen]
de_254,Agrob[Rüstungsladen]
de_255,Lazgar[Artikel-Shop]
de_256,Lana
de_257,Laucian
de_258,Owen
de_259,"Skorpion schwächen"
de_260,NULL
de_261,NULL
de_262,NULL
de_263,"Eulenbär schwächen"
de_264,Shadbak
de_265,"Imp schwächen"
de_266,NULL
de_267,"Troglodyt schwächen"
de_268,NULL
de_269,NULL
de_270,NULL
de_271,NULL
de_272,"Thri Kreen schwächen"
de_273,NULL
de_274,NULL
de_275,NULL
de_276,NULL
de_277,NULL
de_278,NULL
de_279,NULL
de_280,NULL
de_281,Edith
de_282,Gus
de_283,Percy
de_284,Gwen
de_285,Hoover
de_286,Irvin
de_287,Inez
de_288,Dura[Zaubertrank-Laden]
de_289,Lum
de_290,Yatur
de_291,NULL
de_292,NULL
de_293,NULL
de_294,"Schwache Ungoliant"
de_295,NULL
de_296,NULL
de_297,NULL
de_298,NULL
de_299,NULL
de_300,NULL
de_301,NULL
de_302,"Hermes[Verlies der Insel der Verheißung]"
de_303,Brooks[Waffenladen]
de_304,Bootsmann
de_305,Justina[Artikel-Shop]
de_306,Leah[Rüstungsladen]
de_307,Andrew[Lager]
de_308,Ptolemy[Knochenspezialist]
de_309,Doris[Schneiderei]
de_310,"Zese[Himmelsinsel Teleporter]"
de_311,Gary
de_312,Olivia
de_313,Carlos
de_314,Vicky
de_315,Ambrose
de_316,Brandon
de_317,Rufus
de_318,Falice
de_319,Nelson
de_320,Elsa
de_321,Gia
de_322,Camilla
de_323,Lorelei
de_324,Lohan
de_325,Cal
de_326,Sala
de_327,Wesley
de_328,Gaqe
de_329,Loretta
de_330,Brian
de_331,Nanette
de_332,Calder
de_333,Portia
de_334,Rance
de_335,Karl
de_336,David
de_337,Maris
de_338,Jill
de_339,Hosea
de_340,Gareth
de_341,Shiloh
de_342,Camellia
de_343,Craiq
de_344,Lennon
de_345,Pheadra
de_346,"Garth[Edin Peak Teleporter]"
de_347,Bettina
de_348,Aaron
de_349,Martin
de_350,Karol[Lager]
de_351,Lia
de_352,Valanthe
de_353,Heian
de_354,Antinua
de_355,NULL
de_356,NULL
de_357,Enialis
de_358,Hermes
de_359,Polyrhachis
de_360,Rick
de_361,Feuerameise
de_362,Termite
de_363,NULL
de_364,Lemur
de_365,"Roter Panda"
de_366,Atub
de_367,Urim
de_368,Bumph[Zaubertrank-Laden]
de_369,Yotul[Artikel-Shop]
de_370,Mogak[Rüstungsladen]
de_371,Slog
de_372,Epkagut[Lager]
de_373,Jogug[Waffenladen]
de_374,Bashuk
de_375,Bor
de_376,Omugug
de_377,Supgugh
de_378,Panda
de_379,Bär
de_380,Gürteltier
de_381,"Cassandras Wächter"
de_382,Abenteurer
de_383,Felix
de_384,Patch
de_385,Magister
de_386,Kraft
de_387,Teleporter
de_388,Pangolin
de_389,Warren
de_390,Gordon
de_391,Erik
de_392,Dellas
de_393,Jäger
de_394,Katze
de_395,Tyson[Knochenspezialist]
de_396,Prinz
de_397,Ritter
