en_0,"0"
en_1,"Equipped"
en_2,"Equipped"
en_3,"On"
en_4,"Empty"
en_5,"Reward of Venti"
en_6,"Reward of Volt"
en_7,"Reward of Tera"
en_8,"Reward of Vulcan"
en_9,"Elemental Source Crystal"
en_10,"To Escon Region"
en_11,"To Eva Castle"
en_12,"Reincarnation Arcane"
en_13,"Leader"
en_14,"Shining Trainee's Plate Armor"
en_15,"Shining Trainee's Gloves"
en_16,"Shining Trainee's Boots"
en_17,"Shining Trainee's Shield"
en_18,"Hide Valley Blood Nightshade"
en_19,"Hide Valley Archer"
en_20,"Hide Valley Succubus Queen"
en_21,"Fearless Badge"
en_22,"Leather (Quest)"
en_23,"Badge of Bravery"
en_24,"Castle Gate"
en_25,"Castle Reporter"
en_26,"Fountain of Memories"
en_27,"[攻城战]"
en_28,"Scroll of Castle Teleport"
en_29,"Weapon Source Wooden Box"
en_30,"Blemish Weapon Stone Box"
en_31,"Wooden Box Purchase Proof"
en_32,"Stone Box Purchase Proof"
en_33,"Brave Source"
en_34,"Fearless Source"
en_35,"[不可补充]"
en_36,"Conch"
en_37,"Hunting Badge"
en_38,"Hunting Wooden Treasure Box"
en_39,"Scroll of Ymir Teleport"
en_40,"Demon Hunter"
en_41,"Sealed Oath [1 day]"
en_42,"屈原长靴礼盒"
en_43,"Coupon of Hide Valley Stone Box"
en_44,"Hide Valley Stone Box"
en_45,"Hide Valley Permit (Gift)"
en_46,"Returner's Bow"
en_47,"Returner's Sword"
en_48,"Returner's Staff"
en_49,"Returner's Scarf"
en_50,"Returner's Shirt"
en_51,"Returner's Armor"
en_52,"Returner's Cloak"
en_53,"Returner's Gloves"
en_54,"Returner's boots"
en_55,"Returner's Set"
en_56,"Regress Equipment Treasure Box"
en_57,"Dead Wood"
en_58,"Rough of Chaos"
en_59,"Ant Bark"
en_60,"Fallen Long Sword"
en_61,"Strength Iron Staff"
en_62,"Soul Staff"
en_63,"Fallen Wand"
en_64,"Ghost Bow"
en_65,"Eagle Bow"
en_66,"Siege Battle Axe"
en_67,"Haphalgesia of Protection"
en_68,"Boots of Protection"
en_69,"Helmet of Protection"
en_70,"Chaos Helmet"
en_71,"Chaos Cloak"
en_72,"Chaos Cape"
en_73,"Blemish Haphalgesia of Protection"
en_74,"Blemish Helmet of Protection"
en_75,"Blemish Boots of Protection"
en_76,"Blemish Eagle Bow"
en_77,"Blemish Ghost bow"
en_78,"Blemish Chaos Cloak"
en_79,"Blemish Chaos Cape"
en_80,"Blemish Chaos Helmet"
en_81,"Blemish Strength Iron Staff"
en_82,"Blemish Soul Staff"
en_83,"Blemish Fallen Wand"
en_84,"Blemish Fallen Long Sword"
en_85,"Armor Specialist"
en_86,"Armor Specialist"
en_87,"Armor Specialist"
en_88,"Aliro's Pearl"
en_89,"万能药木匣"
en_90,"Magic Dairy Treasure Box Lv4-6"
en_91,"Premium Exp Box"
en_92,"Antidote [Quest]"
en_93,"Vulcan Wooden Box"
en_94,"Present of Vulcan"
en_95,"Servant of Moon Goddess"
en_96,"Windfall Sword"
en_97,"Windfall Sword [Embryo]"
en_98,"Scroll of Windfall Sword Enchant Exclusive"
en_99,"Bloodthirst Orc Slurbow General"
en_100,"Bloodthirst Orc Slurbow"
en_101,"Goblin"
en_102,"Orc"
en_103,"Kobold"
en_104,"Werewolf"
en_105,"Imp"
en_106,"Dwarf"
en_107,"Slime"
en_108,"Zombie"
en_109,"Floating Eye"
en_110,"Gnoll"
en_111,"Dwarf Warrior"
en_112,"Skeleton"
en_113,"Soldier Ant"
en_114,"Skeleton Archer"
en_115,"Stone Golem"
en_116,"Skeleton Axeman"
en_117,"Skeleton Spear"
en_118,"Shelob"
en_119,"Hobgoblin"
en_120,"Lizardman"
en_121,"Owlbear"
en_122,"Troglodyte"
en_123,"Ghoul"
en_124,"Nightshade"
en_125,"Lycanthrope"
en_126,"Ungoliant"
en_127,"Doppelganger"
en_128,"Giant Ant"
en_129,"Ghast"
en_130,"Elder Mage"
en_131,"Bugbear"
en_132,"Cerberus"
en_133,"Scorpion"
en_134,"Harpy"
en_135,"Ogre"
en_136,"Troll"
en_137,"Griffon"
en_138,"Beholder"
en_139,"Cockatrice"
en_140,"Ettin"
en_141,"Basilisk"
en_142,"Succubus"
en_143,"Cyclop"
en_144,"Succubus Queen (Special)"
en_145,"Necromancer"
en_146,"Skuld"
en_147,"Sauroner"
en_148,"Endor"
en_149,"Svipdag"
en_150,"Drake"
en_151,"Dark Elder"
en_152,"Baphomet"
en_153,"Beleth"
en_154,"Bran"
en_155,"Death Knight"
en_156,"Ant Queen"
en_157,"Scatha"
en_158,"Joanna [EXP Gaining]"
en_159,"Alfred"
en_160,"Inka"
en_161,"Bertrand"
en_162,"Olga"
en_163,"Boyce"
en_164,"Brooks"
en_165,"Cyril"
en_166,"Zeke"
en_167,"Cordelia"
en_168,"Chad"
en_169,"Cassandra"
en_170,"Carina"
en_171,"Dog"
en_172,"Horse"
en_173,"Taylor [Potion Shop]"
en_174,"Justina"
en_175,"Leah"
en_176,"Friar"
en_177,"Cat"
