fr_0,"$0 "
fr_1,Porté
fr_2,Porté
fr_3,Activé
fr_4,Vide
fr_5,NULL
fr_6,NULL
fr_7,NULL
fr_8,NULL
fr_9,NULL
fr_10,NULL
fr_11,NULL
fr_12,NULL
fr_13,NULL
fr_14,NULL
fr_15,NULL
fr_16,NULL
fr_17,NULL
fr_18,NULL
fr_19,NULL
fr_20,NULL
fr_21,NULL
fr_22,NULL
fr_23,NULL
fr_24,NULL
fr_25,NULL
fr_26,NULL
fr_27,NULL
fr_28,NULL
fr_29,NULL
fr_30,NULL
fr_31,NULL
fr_32,NULL
fr_33,NULL
fr_34,NULL
fr_35,NULL
fr_36,NULL
fr_37,NULL
fr_38,NULL
fr_39,NULL
fr_40,NULL
fr_41,NULL
fr_42,NULL
fr_43,NULL
fr_44,NULL
fr_45,NULL
fr_46,NULL
fr_47,NULL
fr_48,NULL
fr_49,NULL
fr_50,NULL
fr_51,NULL
fr_52,NULL
fr_53,NULL
fr_54,NULL
fr_55,NULL
fr_56,NULL
fr_57,NULL
fr_58,NULL
fr_59,NULL
fr_60,NULL
fr_61,NULL
fr_62,NULL
fr_63,NULL
fr_64,NULL
fr_65,NULL
fr_66,NULL
fr_67,NULL
fr_68,NULL
fr_69,NULL
fr_70,NULL
fr_71,NULL
fr_72,NULL
fr_73,NULL
fr_74,NULL
fr_75,NULL
fr_76,NULL
fr_77,NULL
fr_78,NULL
fr_79,NULL
fr_80,NULL
fr_81,NULL
fr_82,NULL
fr_83,NULL
fr_84,NULL
fr_85,NULL
fr_86,NULL
fr_87,NULL
fr_88,NULL
fr_89,NULL
fr_90,NULL
fr_91,NULL
fr_92,NULL
fr_93,NULL
fr_94,NULL
fr_95,NULL
fr_96,NULL
fr_97,NULL
fr_98,NULL
fr_99,NULL
fr_100,NULL
fr_101,Gobelin
fr_102,Orque
fr_103,"Voleur gobelin"
fr_104,Loup-garou
fr_105,Lutin
fr_106,Nain
fr_107,Vase
fr_108,Zombie
fr_109,"Œil flottant"
fr_110,Gnoll
fr_111,"Guerrier nain"
fr_112,Squelette
fr_113,"Soldat fourmi"
fr_114,"Archer squelette"
fr_115,"Golem de pierre"
fr_116,"Bourreau squelette"
fr_117,"Lance squelette"
fr_118,Araignée
fr_119,Hobgoblin
fr_120,"Homme lézard"
fr_121,Owlbear
fr_122,Troglodyte
fr_123,Goule
fr_124,Belladone
fr_125,Lycanthrope
fr_126,Ungoliant
fr_127,Doppelgänger
fr_128,"Fourmi géante"
fr_129,Ghast
fr_130,"Mage ancien"
fr_131,Bugbear
fr_132,Cerbère
fr_133,Squelette
fr_134,Harpie
fr_135,Orge
fr_136,Troll
fr_137,Griffon
fr_138,Observateur
fr_139,Cocatrix
fr_140,Ettin
fr_141,Basilic
fr_142,Succube
fr_143,Cyclope
fr_144,"Reine Succube"
fr_145,Nécromancien
fr_146,Skuld
fr_147,Sauron
fr_148,Endor
fr_149,Svipdag
fr_150,Drake
fr_151,"Sage sombre"
fr_152,Baphomet
fr_153,Beleth
fr_154,Bran
fr_155,"Chevalier de la mort"
fr_156,"Reine des fourmis"
fr_157,Scatha
fr_158,Joanna
fr_159,Alfred
fr_160,Inca
fr_161,Bertrand
fr_162,Olga
fr_163,Boyce
fr_164,Brooks
fr_165,Cyril[Polymorphe]
fr_166,Zeke
fr_167,Cordelia
fr_168,Chad
fr_169,Cassandra
fr_170,Carina
fr_171,Chien
fr_172,Cheval
fr_173,"Taylor[Boutique de potions]"
fr_174,Justina
fr_175,Leah
fr_176,Frère
fr_177,NULL
fr_178,Vache
fr_179,"Guerrier Orque"
fr_180,NULL
fr_181,NULL
fr_182,NULL
fr_183,NULL
fr_184,NULL
fr_185,NULL
fr_186,"Thri Keen"
fr_187,"Archer orque"
fr_188,"Shaman orque"
fr_189,"Soldat orque"
fr_190,"Garde orque"
fr_191,"Arbalète orque"
fr_192,"Zombie orque"
fr_193,"Mage orque"
fr_194,Drow
fr_195,Lolth
