it_0,"$0 "
it_1,Logorato
it_2,Logorato
it_3,On
it_4,Vuoto
it_5,NULL
it_6,NULL
it_7,NULL
it_8,NULL
it_9,NULL
it_10,NULL
it_11,NULL
it_12,NULL
it_13,NULL
it_14,NULL
it_15,NULL
it_16,NULL
it_17,NULL
it_18,NULL
it_19,NULL
it_20,NULL
it_21,NULL
it_22,NULL
it_23,NULL
it_24,NULL
it_25,NULL
it_26,NULL
it_27,NULL
it_28,NULL
it_29,NULL
it_30,NULL
it_31,NULL
it_32,NULL
it_33,NULL
it_34,NULL
it_35,NULL
it_36,NULL
it_37,NULL
it_38,NULL
it_39,NULL
it_40,NULL
it_41,NULL
it_42,NULL
it_43,NULL
it_44,NULL
it_45,NULL
it_46,NULL
it_47,NULL
it_48,NULL
it_49,NULL
it_50,NULL
it_51,NULL
it_52,NULL
it_53,NULL
it_54,NULL
it_55,NULL
it_56,NULL
it_57,NULL
it_58,NULL
it_59,NULL
it_60,NULL
it_61,NULL
it_62,NULL
it_63,NULL
it_64,NULL
it_65,NULL
it_66,NULL
it_67,NULL
it_68,NULL
it_69,NULL
it_70,NULL
it_71,NULL
it_72,NULL
it_73,NULL
it_74,NULL
it_75,NULL
it_76,NULL
it_77,NULL
it_78,NULL
it_79,NULL
it_80,NULL
it_81,NULL
it_82,NULL
it_83,NULL
it_84,NULL
it_85,NULL
it_86,NULL
it_87,NULL
it_88,NULL
it_89,NULL
it_90,NULL
it_91,NULL
it_92,NULL
it_93,NULL
it_94,NULL
it_95,NULL
it_96,NULL
it_97,NULL
it_98,NULL
it_99,NULL
it_100,NULL
it_101,Goblin
it_102,Orco
it_103,Ladro goblin
it_104,"Lupo mannaro"
it_105,Folletto
it_106,Nano
it_107,Melma
it_108,Zombie
it_109,"Occhio fluttuante"
it_110,Gnoll
it_111,"Nano guerriero"
it_112,Scheletro
it_113,"Formica soldato"
it_114,"Scheletro arciere"
it_115,"Golem di pietra"
it_116,"Scheletro boscaiolo"
it_117,"Lancia di scheletro"
it_118,Shelob
it_119,Hobgoblin
it_120,"Uomo lucertola"
it_121,Orsogufo
it_122,Troglodita
it_123,Ghul
it_124,"Ombra notturna"
it_125,Licantropo
it_126,Ungoliant
it_127,Doppelgänger
it_128,"Formica gigante"
it_129,Ghast
it_130,"Anziano mago"
it_131,Bugbear
it_132,Cerbero
it_133,Scheletro
it_134,Arpia
it_135,Mostro
it_136,Troll
it_137,Grifone
it_138,Beholder
it_139,Coccatrice
it_140,Ettin
it_141,Coccatrice
it_142,Succube
it_143,Ciclope
it_144,"Regina dei succubi"
it_145,Necromante
it_146,Skuld
it_147,Sauroner
it_148,Endor
it_149,Svipdagr
it_150,Drake
it_151,"Anziano oscuro"
it_152,Baphomet
it_153,Beleth
it_154,Bran
it_155,"Cavaliere della morte"
it_156,"Formica regina"
it_157,Scatha
it_158,Joanna
it_159,Alfred
it_160,Inka
it_161,Bertrand
it_162,Olga
it_163,Boyce
it_164,Brooks
it_165,Cyril
it_166,Zeke
it_167,Cordelia
it_168,Chad
it_169,Cassandra
it_170,Carina
it_171,Cane
it_172,Cavallo
it_173,"Taylor[Bottega di pozioni]"
it_174,Justina
it_175,Leah
it_176,Frate
it_177,NULL
it_178,Vacca
it_179,"Orco lottatore"
it_180,NULL
it_181,NULL
it_182,NULL
it_183,NULL
it_184,NULL
it_185,NULL
it_186,"Thri Keen"
it_187,"Orco arciere"
it_188,"Orco sciamano"
it_189,"Grunt Orco"
it_190,"Orco guardia"
it_191,"Orco balestriere"
it_192,"Orco zombie"
it_193,"Orco mago"
it_194,Drow
it_195,Lolth
it_196,"Scheletro d'elite"
it_197,Cora
it_198,"Scheletro arciere d'elite"
it_199,Faustus
it_200,"Scheletro boscaiolo d'elite"
it_201,"Scheletro mago d'elite"
it_202,Doris
it_203,Damon
it_204,"Gullveig [Libro d'incantesimi]"
it_205,Galen
it_206,Spaventapasseri
it_207,"Lancia di scheletro d'elite"
it_208,Kirsten
it_209,Kell
it_210,"Scheletro mago"
it_211,Gallina
it_212,Laura
it_213,Naomi
it_214,Nairobi
it_215,Marla
it_216,Papera
it_217,Marcia
it_218,Oca
it_219,Nedra
it_220,Maiale
it_221,Tolomeo
