pt_0,"$0 "
pt_1,Usado
pt_2,Usado
pt_3,On
pt_4,Vazio
pt_5,NULL
pt_6,NULL
pt_7,NULL
pt_8,NULL
pt_9,NULL
pt_10,NULL
pt_11,NULL
pt_12,NULL
pt_13,NULL
pt_14,NULL
pt_15,NULL
pt_16,NULL
pt_17,NULL
pt_18,NULL
pt_19,NULL
pt_20,NULL
pt_21,NULL
pt_22,NULL
pt_23,NULL
pt_24,NULL
pt_25,NULL
pt_26,NULL
pt_27,NULL
pt_28,NULL
pt_29,NULL
pt_30,NULL
pt_31,NULL
pt_32,NULL
pt_33,NULL
pt_34,NULL
pt_35,NULL
pt_36,NULL
pt_37,NULL
pt_38,NULL
pt_39,NULL
pt_40,NULL
pt_41,NULL
pt_42,NULL
pt_43,NULL
pt_44,NULL
pt_45,NULL
pt_46,NULL
pt_47,NULL
pt_48,NULL
pt_49,NULL
pt_50,NULL
pt_51,NULL
pt_52,NULL
pt_53,NULL
pt_54,NULL
pt_55,NULL
pt_56,NULL
pt_57,NULL
pt_58,NULL
pt_59,NULL
pt_60,NULL
pt_61,NULL
pt_62,NULL
pt_63,NULL
pt_64,NULL
pt_65,NULL
pt_66,NULL
pt_67,NULL
pt_68,NULL
pt_69,NULL
pt_70,NULL
pt_71,NULL
pt_72,NULL
pt_73,NULL
pt_74,NULL
pt_75,NULL
pt_76,NULL
pt_77,NULL
pt_78,NULL
pt_79,NULL
pt_80,NULL
pt_81,NULL
pt_82,NULL
pt_83,NULL
pt_84,NULL
pt_85,NULL
pt_86,NULL
pt_87,NULL
pt_88,NULL
pt_89,NULL
pt_90,NULL
pt_91,NULL
pt_92,NULL
pt_93,NULL
pt_94,NULL
pt_95,NULL
pt_96,NULL
pt_97,NULL
pt_98,NULL
pt_99,NULL
pt_100,NULL
pt_101,Goblin
pt_102,Orc
pt_103,Ladrão Goblin
pt_104,Lobisomem
pt_105,Diabrete
pt_106,Anão
pt_107,Lodo
pt_108,Zumbi
pt_109,"Olho Flutuante"
pt_110,Gnoll
pt_111,"Guerreiro Anão"
pt_112,Esqueleto
pt_113,"Formiga Soldado"
pt_114,"Arqueiro Esqueleto"
pt_115,"Golem de Pedra"
pt_116,"Machadeiro Esqueleto"
pt_117,"Lança de Esqueleto"
pt_118,Shelob
pt_119,Hobgoblin
pt_120,"Homem Lagarto"
pt_121,"Urso Coruja"
pt_122,Troglodita
pt_123,Ghoul
pt_124,Beladona
pt_125,Licantropo
pt_126,Ungoliant
pt_127,Doppelganger
pt_128,"Formiga Gigante"
pt_129,Ghast
pt_130,"Mago Ancião"
pt_131,Bugbear
pt_132,Cérbero
pt_133,Esqueleto
pt_134,Harpia
pt_135,Ogro
pt_136,Troll
pt_137,Grifo
pt_138,Observador
pt_139,Cocatrice
pt_140,Ettin
pt_141,Cocatrice
pt_142,Súcubo
pt_143,Ciclope
pt_144,"Rainha Súcubo"
pt_145,Nigromante
pt_146,Skuld
pt_147,Sauroner
pt_148,Endor
pt_149,Svipdag
pt_150,Dragão
pt_151,"Ancião Negro"
pt_152,Baphomet
pt_153,Beleth
pt_154,Bran
pt_155,"Cavaleiro da Morte"
pt_156,"Formiga Rainha"
pt_157,Scatha
pt_158,Joanna
pt_159,Alfred
pt_160,Inka
pt_161,Bertrand
pt_162,Olga
pt_163,Boyce
pt_164,Brooks
pt_165,Cyril
pt_166,Zeke
pt_167,Cordelia
pt_168,Chad
pt_169,Cassandra
pt_170,Carina
pt_171,Cachorro
pt_172,Cavalo
pt_173,"Taylor[Loja de Poções]"
pt_174,Justina
pt_175,Leah
pt_176,Monge
pt_177,NULL
pt_178,Vaca
pt_179,"Lutador Orc"
pt_180,NULL
pt_181,NULL
pt_182,NULL
pt_183,NULL
pt_184,NULL
pt_185,NULL
pt_186,"Thri Kreen"
pt_187,"Arqueiro Orc"
pt_188,"Xamã Orc"
pt_189,"Grunhido do Orc"
pt_190,"Guarda Orc"
pt_191,"Balestra de Orc"
pt_192,"Zumbi Orc"
pt_193,"Mago Orc"
pt_194,Drow
pt_195,Lolth
pt_196,"Esqueleto de Elite"
pt_197,Cora
pt_198,"Arqueiro Esqueleto de Elite"
pt_199,Faustus
pt_200,"Machadeiro Esqueleto de Elite"
pt_201,"Mago Esqueleto de Elite"
pt_202,Doris
pt_203,Damon
pt_204,"Gullveig [Livro de Encantos]"
pt_205,Galen
pt_206,Espantalho
pt_207,"Lança de Esqueleto de Elite"
pt_208,Kirsten
pt_209,Kell
pt_210,"Mago Esqueleto"
pt_211,Galinha
pt_212,Laura
pt_213,Naomi
pt_214,Nairobi
pt_215,Marla
pt_216,Pato
pt_217,Marcia
pt_218,Ganso
pt_219,Nedra
pt_220,Porco
pt_221,Ptolomeu
pt_222,Coelho
pt_223,"Pascal[Loja de Armas]"
pt_224,"Rhoda"
pt_225,"Somali[Loja de Itens]"
pt_226,Ramla
pt_227,Carneiro
pt_228,"Rabia[Loja de Armaduras]"
pt_229,Ovelha
pt_230,"Somali[Loja de Itens]"
pt_231,Sadie
pt_232,Thurston
pt_233,Têmis
pt_234,Uta
pt_235,Upton
pt_236,"Barqueiro do Porto de Ilha Prometida"
pt_237,Merlin
pt_238,Natalia
pt_239,Soldado
pt_240,NULL
pt_241,NULL
pt_242,Elbereth
pt_243,NULL
pt_244,NULL
pt_245,NULL
pt_246,"Harpia enfraquecida"
pt_247,NULL
pt_248,"Lobisomem enfraquecido"
pt_249,Andrew
pt_250,Grazob
pt_251,NULL
pt_252,Karguk[Armazém]
pt_253,"Piggu[Loja de Armas]"
pt_254,"Agrob[Loja de Armaduras]"
pt_255,"Lazgar[Loja de Itens]"
pt_256,Lana
pt_257,Laucian
pt_258,Owen
pt_259,"Escorpião enfraquecido"
pt_260,NULL
pt_261,NULL
pt_262,NULL
pt_263,"Urso Coruja enfraquecido"
pt_264,Shadbak
pt_265,"Diabrete enfraquecido"
pt_266,NULL
pt_267,"Troglodita enfraquecido"
pt_268,NULL
pt_269,NULL
pt_270,NULL
pt_271,NULL
pt_272,"Thri Kreen enfraquecido"
pt_273,NULL
pt_274,NULL
pt_275,NULL
pt_276,NULL
pt_277,NULL
