tw_0,$0
tw_1,揮舞
tw_2,使用中
tw_3,打開
tw_4,無油
tw_5,"風神梵迪的恩賜"
tw_6,"水神伏特的恩賜"
tw_7,"土神堤拉的恩賜"
tw_8,"火神伏尔坎的恩賜"
tw_9,"元素結晶"
tw_10,"通往水淩林地區"
tw_11,"通往海底城堡"
tw_12,"輪迴奧術"
tw_13,"頭目"
tw_14,"閃亮的初心者之甲"
tw_15,"閃亮的初心者手套"
tw_16,"閃亮的初心者之靴"
tw_17,"閃亮的初心者之盾"
tw_18,"隱谷血魔"
tw_19,"隱谷弓箭手"
tw_20,"隱谷魅魔"
tw_21,"無畏之章"
tw_22,"皮革(任務物品)"
tw_23,"勇氣之章"
tw_24,"城門"
tw_25,"城堡告示員"
tw_26,"回憶心泉"
tw_27,"[攻城戰]"
tw_28,"市政廳傳送捲軸"
tw_29,"武器素材木箱"
tw_30,"瑕疵武器石盒"
tw_31,"木箱已購憑證"
tw_32,"石盒已購憑證"
tw_33,"勇氣之源"
tw_34,"無畏之源"
tw_35,"[不可補充]"
tw_36,"傳音海螺"
tw_37,"狩獵徽章"
tw_38,"狩獵木盒"
tw_39,"狩獵山脈傳送卷軸"
tw_40,"獵魔人"
tw_41,"被封印的誓約書[1天]"
tw_42,"屈原長靴禮盒"
tw_43,"[隱藏之谷·諾]入場券"
tw_44,"隱藏之谷的贈禮石盒"
tw_45,"隱藏之谷通行證·禮"
tw_46,"先賢者之弓"
tw_47,"先賢者之劍"
tw_48,"先賢者之杖"
tw_49,"先賢者頭巾"
tw_50,"先賢者T恤"
tw_51,"先賢者盔甲"
tw_52,"先賢者披風"
tw_53,"先賢者手套"
tw_54,"先賢者短靴"
tw_55,"先賢者套裝"
tw_56,"回歸裝備禮盒"
tw_57,"枯木"
tw_58,"混亂原石"
tw_59,"安特樹皮"
tw_60,"墮落長劍"
tw_61,"力量鋼杖"
tw_62,"靈魂法杖"
tw_63,"墮落魔杖"
tw_64,"幽迷弓"
tw_65,"鷹隼弩"
tw_66,"攻城戰斧"
tw_67,"防護軟甲"
tw_68,"防護長靴"
tw_69,"防護頭盔"
tw_70,"混沌頭盔"
tw_71,"混沌斗篷"
tw_72,"混沌法袍"
tw_73,"瑕疵的防護軟甲"
tw_74,"瑕疵的防護頭盔"
tw_75,"瑕疵的防護長靴"
tw_76,"瑕疵的鷹隼弩"
tw_77,"瑕疵的幽迷弓"
tw_78,"瑕疵的混沌斗篷"
tw_79,"瑕疵的混沌法袍"
tw_80,"瑕疵的混沌頭盔"
tw_81,"瑕疵的力量鋼杖"
tw_82,"瑕疵的靈魂法杖"
tw_83,"瑕疵的墮落魔杖"
tw_84,"瑕疵的墮落長劍"
tw_85,"泰森 [裝備製作]"
tw_86,"貝舒可 [裝備製作]"
tw_87,"多麗絲 [裝備製作]"
tw_88,"阿里羅的珍珠"
tw_89,"萬能藥木匣"
tw_90,"普通魔法筆記禮盒[4-6等]"
tw_91,"天選者經驗木匣"
tw_92,"解毒藥水[任務物品]"
tw_93,"火神伏爾坎的木匣"
tw_94,"火神伏爾坎之禮"
tw_95,"月光女神的僕從"
tw_96,"風殞之劍"
tw_97,"風殞之劍[劍胚]"
tw_98,"風殞之劍專屬強化卷軸"
