ru_0,"Малое лечение","Восстанавливает у цели немного ОЗ. Также может наносить урон нежити.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 20."
ru_1,Свет,"Позволяет призвать магический источник света, который будет 3600 секунд освещать территорию вокруг заклинателя.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 10."
ru_2,Щит,"Создает щит и увеличивает КБ на 2 пункта. Не суммируется.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 30."
ru_3,"Энергетическая стрела","Выпускает магическую стрелу, которая наносит цели небольшой урон.Произнося это заклинание, маг расходует 0 маны до 30-го уровня; эльф и принц расходуют 0 маны до 20-го уровня.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 50."
ru_4,Телепорт,"Перемещает в случайное место. С помощью кольца телепортации можно выбрать конкретное место для перемещения.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 50."
ru_5,"Ледяной кинжал","Выпускает во врагов ледяные стрелы, которые наносят им урон.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 50."
ru_6,"Ветряной сюрикен","Кинжал ветра наносит урон врагу.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 50."
ru_7,"Святое оружие","Усиливает оружие, увеличивая урон. Усиленное оружие наносит дополнительный урон нежити.\nТребование для изучения:\nДворянин:ур. 10\nМаг:ур. 4\nЭльф:ур. 8\nРыцарь:ур. 40."
ru_8,Противоядие,"Лечит цель магией и исцеляет от яда.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
ru_9,"Ледяное касание","Поглощает у цели ОЗ и добавляет к вашим. При использовании этого заклинания законопослушность уменьшается на 2.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
ru_10,"Проклятье: яд","С помощью магии создает яд, который может отравить цель, в результате чего она будет получать постоянный урон от яда. При использовании этого заклинания законопослушность уменьшается на 10.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
ru_11,"Заколдовать оружие","Повышает урон от оружия цели на 2 пункта.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
ru_12,Обнаружение,"Показывает скрытых чудовищ и игроков, делая их видимыми.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
ru_13,"Уменьшение веса","Временно увеличивает грузоподъемность, позволяя нести больше вещей.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
ru_14,"Огненная стрела","Призывает магические горящие стрелы и наносит ими урон вражеским целям.\nТребование для изучения:\nДворянин:ур. 20\nМаг:ур. 8\nЭльф:ур. 16."
